"","pc","pt","totsampsize","n2mult","plt05","pnexchgt090","pnexchgt080","pnexchgt0798","pnexchgt020"
"1",0.1,0.1,200,0.1,0.101,0.002,0.004,0.004,0.167
"2",0.1,0.1,200,0.25,0.055,0.001,0.005,0.005,0.12
"3",0.1,0.1,300,0.1,0.069,0.001,0.002,0.002,0.085
"4",0.1,0.1,300,0.25,0.05,0.004,0.006,0.006,0.104
"5",0.1,0.1,400,0.1,0.049,0,0.005,0.005,0.073
"6",0.1,0.1,400,0.25,0.047,0.002,0.002,0.002,0.066
"7",0.1,0.1,500,0.1,0.06,0.003,0.004,0.004,0.075
"8",0.1,0.1,500,0.25,0.056,0.002,0.005,0.005,0.071
"9",0.1,0.1,600,0.1,0.063,0.001,0.004,0.004,0.07
"10",0.1,0.1,600,0.25,0.052,0.003,0.004,0.004,0.058
"11",0.1,0.1,700,0.1,0.05,0.001,0.003,0.003,0.051
"12",0.1,0.1,700,0.25,0.065,0.001,0.003,0.003,0.067
"13",0.1,0.1,800,0.1,0.045,0,0.002,0.002,0.044
"14",0.1,0.1,800,0.25,0.049,0.002,0.004,0.004,0.046
"15",0.1,0.1,900,0.1,0.057,0.002,0.003,0.003,0.05
"16",0.1,0.1,900,0.25,0.042,0.001,0.001,0.001,0.038
"17",0.1,0.1,1000,0.1,0.048,0,0.002,0.002,0.043
"18",0.1,0.1,1000,0.25,0.072,0.002,0.006,0.006,0.058
"19",0.1,0.2,200,0.1,0.257,0.042,0.071,0.071,0.368
"20",0.1,0.2,200,0.25,0.398,0.09,0.132,0.133,0.544
"21",0.1,0.2,300,0.1,0.334,0.063,0.095,0.095,0.422
"22",0.1,0.2,300,0.25,0.59,0.169,0.226,0.227,0.686
"23",0.1,0.2,400,0.1,0.407,0.089,0.131,0.131,0.469
"24",0.1,0.2,400,0.25,0.699,0.258,0.341,0.341,0.745
"25",0.1,0.2,500,0.1,0.504,0.124,0.166,0.166,0.548
"26",0.1,0.2,500,0.25,0.794,0.335,0.415,0.418,0.816
"27",0.1,0.2,600,0.1,0.582,0.155,0.211,0.211,0.599
"28",0.1,0.2,600,0.25,0.864,0.425,0.526,0.527,0.872
"29",0.1,0.2,700,0.1,0.654,0.175,0.261,0.261,0.659
"30",0.1,0.2,700,0.25,0.892,0.496,0.596,0.597,0.894
"31",0.1,0.2,800,0.1,0.697,0.229,0.316,0.316,0.685
"32",0.1,0.2,800,0.25,0.923,0.602,0.681,0.681,0.921
"33",0.1,0.2,900,0.1,0.729,0.244,0.332,0.334,0.718
"34",0.1,0.2,900,0.25,0.957,0.663,0.745,0.747,0.956
"35",0.1,0.2,1000,0.1,0.779,0.302,0.39,0.39,0.75
"36",0.1,0.2,1000,0.25,0.97,0.718,0.795,0.795,0.967
"37",0.1,0.3,200,0.1,0.605,0.207,0.292,0.292,0.714
"38",0.1,0.3,200,0.25,0.882,0.521,0.618,0.622,0.94
"39",0.1,0.3,300,0.1,0.783,0.353,0.455,0.455,0.83
"40",0.1,0.3,300,0.25,0.974,0.78,0.84,0.841,0.988
"41",0.1,0.3,400,0.1,0.865,0.508,0.581,0.581,0.898
"42",0.1,0.3,400,0.25,0.994,0.899,0.934,0.938,0.998
"43",0.1,0.3,500,0.1,0.932,0.661,0.721,0.721,0.944
"44",0.1,0.3,500,0.25,0.998,0.956,0.976,0.977,0.998
"45",0.1,0.3,600,0.1,0.968,0.737,0.804,0.804,0.972
"46",0.1,0.3,600,0.25,1,0.988,0.992,0.992,1
"47",0.1,0.3,700,0.1,0.988,0.832,0.876,0.876,0.988
"48",0.1,0.3,700,0.25,1,0.995,1,1,1
"49",0.1,0.3,800,0.1,0.995,0.873,0.909,0.909,0.994
"50",0.1,0.3,800,0.25,1,0.998,1,1,1
"51",0.1,0.3,900,0.1,0.997,0.919,0.946,0.948,0.997
"52",0.1,0.3,900,0.25,1,1,1,1,1
"53",0.1,0.3,1000,0.1,0.996,0.946,0.971,0.971,0.996
"54",0.1,0.3,1000,0.25,1,1,1,1,1
"55",0.1,0.4,200,0.1,0.883,0.535,0.636,0.636,0.934
"56",0.1,0.4,200,0.25,0.995,0.911,0.948,0.95,0.999
"57",0.1,0.4,300,0.1,0.976,0.785,0.847,0.847,0.984
"58",0.1,0.4,300,0.25,1,0.99,0.995,0.995,1
"59",0.1,0.4,400,0.1,0.993,0.901,0.934,0.935,0.997
"60",0.1,0.4,400,0.25,1,1,1,1,1
"61",0.1,0.4,500,0.1,0.997,0.958,0.975,0.975,0.999
"62",0.1,0.4,500,0.25,1,0.999,1,1,1
"63",0.1,0.4,600,0.1,1,0.993,0.994,0.994,1
"64",0.1,0.4,600,0.25,1,1,1,1,1
"65",0.1,0.4,700,0.1,1,0.997,0.999,0.999,1
"66",0.1,0.4,700,0.25,1,1,1,1,1
"67",0.1,0.4,800,0.1,1,1,1,1,1
"68",0.1,0.4,800,0.25,1,1,1,1,1
"69",0.1,0.4,900,0.1,1,1,1,1,1
"70",0.1,0.4,900,0.25,1,1,1,1,1
"71",0.1,0.4,1000,0.1,1,1,1,1,1
"72",0.1,0.4,1000,0.25,1,1,1,1,1
"73",0.1,0.5,200,0.1,0.972,0.834,0.883,0.883,0.984
"74",0.1,0.5,200,0.25,1,0.995,0.998,0.999,1
"75",0.1,0.5,300,0.1,1,0.968,0.979,0.979,1
"76",0.1,0.5,300,0.25,1,1,1,1,1
"77",0.1,0.5,400,0.1,1,0.992,0.995,0.995,1
"78",0.1,0.5,400,0.25,1,1,1,1,1
"79",0.1,0.5,500,0.1,1,1,1,1,1
"80",0.1,0.5,500,0.25,1,1,1,1,1
"81",0.1,0.5,600,0.1,1,1,1,1,1
"82",0.1,0.5,600,0.25,1,1,1,1,1
"83",0.1,0.5,700,0.1,1,1,1,1,1
"84",0.1,0.5,700,0.25,1,1,1,1,1
"85",0.1,0.5,800,0.1,1,1,1,1,1
"86",0.1,0.5,800,0.25,1,1,1,1,1
"87",0.1,0.5,900,0.1,1,1,1,1,1
"88",0.1,0.5,900,0.25,1,1,1,1,1
"89",0.1,0.5,1000,0.1,1,1,1,1,1
"90",0.1,0.5,1000,0.25,1,1,1,1,1
