"","N","n2","v1","es1","es2","power","pnexch","pnexch_power","pnexch_cutoff2_power","pnexch_cutoff797_power","pnexch_cutoff8_power","pnexch_cutoff9_power","var_c"
"1",200,0.5,1,1,1,0.0515,0.36967,0.71591,1,0.0297,0.0293,0.0117,"Var = 1"
"2",400,0.5,1,1,1,0.0477,0.30052,0.62574,0.9255,0.0188,0.0182,0.0075,"Var = 1"
"3",600,0.5,1,1,1,0.0541,0.26759,0.59629,0.5335,0.0164,0.0161,0.0067,"Var = 1"
"4",800,0.5,1,1,1,0.0517,0.23877,0.5563,0.4025,0.0132,0.0131,0.0054,"Var = 1"
"5",1000,0.5,1,1,1,0.051,0.22209,0.52264,0.3392,0.0102,0.0102,0.005,"Var = 1"
"6",200,0.5,10,1,1,0.0457,0.62914,0.87779,1,0.1083,0.106,0.0386,"Var = 10"
"7",400,0.5,10,1,1,0.0509,0.5535,0.8478,1,0.077,0.0754,0.0288,"Var = 10"
"8",600,0.5,10,1,1,0.0527,0.50652,0.82255,1,0.0602,0.0591,0.0225,"Var = 10"
"9",800,0.5,10,1,1,0.0524,0.47011,0.79914,1,0.051,0.0497,0.0173,"Var = 10"
"10",1000,0.5,10,1,1,0.0499,0.44645,0.77358,1,0.0431,0.0422,0.0172,"Var = 10"
"11",200,0.5,100,1,1,0.0519,0.83718,0.96151,1,0.6533,0.6287,0.174,"Var = 100"
"12",400,0.5,100,1,1,0.0492,0.7854,0.94467,1,0.3355,0.3274,0.1087,"Var = 100"
"13",600,0.5,100,1,1,0.0533,0.75295,0.93664,1,0.2569,0.2523,0.0885,"Var = 100"
"14",800,0.5,100,1,1,0.0486,0.72545,0.92196,1,0.2082,0.2037,0.0697,"Var = 100"
"15",1000,0.5,100,1,1,0.0515,0.70476,0.91711,1,0.1808,0.1764,0.0639,"Var = 100"
"16",200,0.5,1,1,1.5,0.9393,0.94457,0.92945,1,0.9084,0.9072,0.8383,"Var = 1"
"17",400,0.5,1,1,1.5,0.9989,0.99577,0.99931,1,0.9969,0.9967,0.9903,"Var = 1"
"18",600,0.5,1,1,1.5,1,0.99966,1,1,0.9998,0.9998,0.9994,"Var = 1"
"19",800,0.5,1,1,1.5,1,0.99998,1,1,1,1,1,"Var = 1"
"20",1000,0.5,1,1,1.5,1,1,1,1,1,1,1,"Var = 1"
"21",200,0.5,10,1,1.5,0.2108,0.71863,0.5578,1,0.3301,0.327,0.1911,"Var = 10"
"22",400,0.5,10,1,1.5,0.3494,0.72796,0.5149,1,0.4164,0.414,0.267,"Var = 10"
"23",600,0.5,10,1,1.5,0.492,0.76475,0.54583,1,0.5171,0.5142,0.3644,"Var = 10"
"24",800,0.5,10,1,1.5,0.6048,0.7987,0.58899,1,0.5997,0.5972,0.4537,"Var = 10"
"25",1000,0.5,10,1,1.5,0.7106,0.83721,0.6687,1,0.6868,0.6839,0.5412,"Var = 10"
"26",200,0.5,100,1,1.5,0.0637,0.84208,0.78765,1,0.6736,0.6481,0.2009,"Var = 100"
"27",400,0.5,100,1,1.5,0.0789,0.79856,0.72489,1,0.4037,0.3968,0.152,"Var = 100"
"28",600,0.5,100,1,1.5,0.0927,0.77285,0.6834,1,0.3435,0.3384,0.1471,"Var = 100"
"29",800,0.5,100,1,1.5,0.1147,0.75532,0.65279,1,0.3158,0.3122,0.147,"Var = 100"
"30",1000,0.5,100,1,1.5,0.1262,0.74146,0.62805,1,0.3074,0.3026,0.1505,"Var = 100"
"31",200,0.5,1,1,2,1,0.99998,1,1,1,1,1,"Var = 1"
"32",400,0.5,1,1,2,1,1,1,1,1,1,1,"Var = 1"
"33",600,0.5,1,1,2,1,1,1,1,1,1,1,"Var = 1"
"34",800,0.5,1,1,2,1,1,1,1,1,1,1,"Var = 1"
"35",1000,0.5,1,1,2,1,1,1,1,1,1,1,"Var = 1"
"36",200,0.5,10,1,2,0.6081,0.87431,0.74891,1,0.7441,0.7411,0.5806,"Var = 10"
"37",400,0.5,10,1,2,0.882,0.94626,0.92223,1,0.9145,0.9129,0.8289,"Var = 10"
