"","N","n2","v1","es1","es2","power","pnexch","pnexch_power","pnexch_cutoff2_power","pnexch_cutoff797_power","pnexch_cutoff8_power","pnexch_cutoff9_power"
"1",200,0.5,1,1,1,0.0505,0.37036,0.71248,1,0.0297,0.0294,0.0124
"2",400,0.5,1,1,1,0.0552,0.30184,0.65059,0.9154,0.02,0.0196,0.0081
"3",600,0.5,1,1,1,0.0505,0.26507,0.58571,0.5324,0.0166,0.0164,0.0063
"4",800,0.5,1,1,1,0.0473,0.23709,0.53593,0.3997,0.012,0.0117,0.0041
"5",1000,0.5,1,1,1,0.0516,0.22182,0.52686,0.3383,0.0109,0.0106,0.0043
"6",200,0.5,1,1,1.1,0.1136,0.42261,0.27429,1,0.0741,0.073,0.0368
"7",400,0.5,1,1,1.1,0.1721,0.3971,0.21436,0.9487,0.0897,0.0887,0.0455
"8",600,0.5,1,1,1.1,0.2298,0.40369,0.18989,0.7496,0.1163,0.1151,0.0657
"9",800,0.5,1,1,1.1,0.2848,0.41947,0.17807,0.7271,0.1388,0.1377,0.0827
"10",1000,0.5,1,1,1.1,0.3484,0.44362,0.17627,0.7462,0.166,0.1647,0.104
"11",200,0.5,1,1,1.2,0.2978,0.55346,0.30414,1,0.2231,0.221,0.1333
"12",400,0.5,1,1,1.2,0.4988,0.62482,0.3223,0.9887,0.3534,0.3507,0.2448
"13",600,0.5,1,1,1.2,0.6915,0.72039,0.43256,0.9633,0.5111,0.5086,0.3874
"14",800,0.5,1,1,1.2,0.8085,0.79069,0.56283,0.9799,0.6315,0.6296,0.5138
"15",1000,0.5,1,1,1.2,0.8879,0.84894,0.7039,0.9864,0.7346,0.7331,0.6278
"16",200,0.5,1,1,1.3,0.5625,0.71829,0.45553,1,0.4747,0.4724,0.3425
"17",400,0.5,1,1,1.3,0.8503,0.85479,0.72158,0.999,0.7384,0.7368,0.6241
"18",600,0.5,1,1,1.3,0.9533,0.93289,0.9138,0.999,0.8877,0.8871,0.8159
"19",800,0.5,1,1,1.3,0.9873,0.97203,0.98308,0.9996,0.9577,0.9574,0.9239
"20",1000,0.5,1,1,1.3,0.9967,0.98855,0.99704,0.9998,0.9855,0.9851,0.9707
"21",200,0.5,1,1,1.4,0.8054,0.85734,0.72167,1,0.7381,0.7356,0.6157
"22",400,0.5,1,1,1.4,0.9784,0.96659,0.97152,0.9999,0.9498,0.9491,0.9082
"23",600,0.5,1,1,1.4,0.9982,0.9938,0.99879,1,0.9932,0.9932,0.9841
"24",800,0.5,1,1,1.4,1,0.99916,0.99995,1,0.9997,0.9997,0.999
"25",1000,0.5,1,1,1.4,1,0.99983,1,1,1,1,0.9999
"26",200,0.5,1,1,1.5,0.9388,0.94203,0.92123,1,0.9052,0.9032,0.827
"27",400,0.5,1,1,1.5,0.9984,0.99557,0.99927,1,0.996,0.996,0.9884
"28",600,0.5,1,1,1.5,0.9998,0.99964,1,1,0.9998,0.9998,0.9994
"29",800,0.5,1,1,1.5,1,0.99999,1,1,1,1,1
"30",1000,0.5,1,1,1.5,1,1,1,1,1,1,1
"31",200,0.5,1,1,1.6,0.9889,0.98429,0.99193,1,0.9808,0.9803,0.9577
"32",400,0.5,1,1,1.6,1,0.99966,0.99999,1,0.9998,0.9998,0.9994
"33",600,0.5,1,1,1.6,1,1,1,1,1,1,1
"34",800,0.5,1,1,1.6,1,1,1,1,1,1,1
"35",1000,0.5,1,1,1.6,1,1,1,1,1,1,1
"36",200,0.5,1,1,1.7,0.9988,0.9966,0.99937,1,0.9972,0.9971,0.9921
"37",400,0.5,1,1,1.7,1,0.99999,1,1,1,1,1
"38",600,0.5,1,1,1.7,1,1,1,1,1,1,1
"39",800,0.5,1,1,1.7,1,1,1,1,1,1,1
"40",1000,0.5,1,1,1.7,1,1,1,1,1,1,1
"41",200,0.5,1,1,1.8,0.9997,0.99934,0.99997,1,0.9996,0.9996,0.9987
"42",400,0.5,1,1,1.8,1,1,1,1,1,1,1
"43",600,0.5,1,1,1.8,1,1,1,1,1,1,1
"44",800,0.5,1,1,1.8,1,1,1,1,1,1,1
"45",1000,0.5,1,1,1.8,1,1,1,1,1,1,1
"46",200,0.5,1,1,1.9,1,0.99993,1,1,1,1,1
"47",400,0.5,1,1,1.9,1,1,1,1,1,1,1
"48",600,0.5,1,1,1.9,1,1,1,1,1,1,1
"49",800,0.5,1,1,1.9,1,1,1,1,1,1,1
"50",1000,0.5,1,1,1.9,1,1,1,1,1,1,1
"51",200,0.5,1,1,2,1,0.99999,1,1,1,1,1
"52",400,0.5,1,1,2,1,1,1,1,1,1,1
"53",600,0.5,1,1,2,1,1,1,1,1,1,1
"54",800,0.5,1,1,2,1,1,1,1,1,1,1
"55",1000,0.5,1,1,2,1,1,1,1,1,1,1
