"","efdiff","var","totsampsize","plt05","pnexchlt080","pnexchlt020"
"1",0,1,200,0.053,0.007,0.128
"2",0,1,300,0.062,0.007,0.103
"3",0,1,400,0.049,0.001,0.066
"4",0,1,500,0.057,0.001,0.081
"5",0,1,600,0.04,0.005,0.043
"6",0,1,700,0.058,0.003,0.059
"7",0,1,800,0.052,0.003,0.05
"8",0,1,900,0.052,0,0.05
"9",0,1,1000,0.047,0.001,0.041
"10",0,10,200,0.053,0.007,0.128
"11",0,10,300,0.062,0.007,0.103
"12",0,10,400,0.049,0.001,0.066
"13",0,10,500,0.057,0.001,0.081
"14",0,10,600,0.04,0.005,0.043
"15",0,10,700,0.058,0.003,0.059
"16",0,10,800,0.052,0.003,0.05
"17",0,10,900,0.052,0,0.05
"18",0,10,1000,0.047,0.001,0.041
"19",0,100,200,0.053,0.007,0.128
"20",0,100,300,0.062,0.007,0.103
"21",0,100,400,0.049,0.001,0.066
"22",0,100,500,0.057,0.001,0.081
"23",0,100,600,0.04,0.005,0.043
"24",0,100,700,0.058,0.003,0.059
"25",0,100,800,0.052,0.003,0.05
"26",0,100,900,0.052,0,0.05
"27",0,100,1000,0.047,0.001,0.041
"28",1,1,200,1,1,1
"29",1,1,300,1,1,1
"30",1,1,400,1,1,1
"31",1,1,500,1,1,1
"32",1,1,600,1,1,1
"33",1,1,700,1,1,1
"34",1,1,800,1,1,1
"35",1,1,900,1,1,1
"36",1,1,1000,1,1,1
"37",1,10,200,0.601,0.292,0.749
"38",1,10,300,0.79,0.44,0.85
"39",1,10,400,0.883,0.58,0.916
"40",1,10,500,0.935,0.717,0.945
"41",1,10,600,0.976,0.794,0.978
"42",1,10,700,0.984,0.867,0.985
"43",1,10,800,0.994,0.908,0.994
"44",1,10,900,0.999,0.963,0.998
"45",1,10,1000,0.999,0.971,0.999
"46",1,100,200,0.119,0.021,0.225
"47",1,100,300,0.15,0.027,0.222
"48",1,100,400,0.184,0.021,0.236
"49",1,100,500,0.234,0.032,0.267
"50",1,100,600,0.237,0.03,0.259
"51",1,100,700,0.263,0.041,0.27
"52",1,100,800,0.298,0.049,0.293
"53",1,100,900,0.323,0.06,0.3
"54",1,100,1000,0.368,0.058,0.34
"55",2,1,200,1,1,1
"56",2,1,300,1,1,1
"57",2,1,400,1,1,1
"58",2,1,500,1,1,1
"59",2,1,600,1,1,1
"60",2,1,700,1,1,1
"61",2,1,800,1,1,1
"62",2,1,900,1,1,1
"63",2,1,1000,1,1,1
"64",2,10,200,0.99,0.947,0.998
"65",2,10,300,1,0.993,1
"66",2,10,400,1,1,1
"67",2,10,500,1,1,1
"68",2,10,600,1,1,1
"69",2,10,700,1,1,1
"70",2,10,800,1,1,1
"71",2,10,900,1,1,1
"72",2,10,1000,1,1,1
"73",2,100,200,0.305,0.085,0.444
"74",2,100,300,0.407,0.134,0.517
"75",2,100,400,0.5,0.188,0.584
"76",2,100,500,0.609,0.263,0.657
"77",2,100,600,0.676,0.288,0.693
"78",2,100,700,0.745,0.33,0.752
"79",2,100,800,0.788,0.403,0.787
"80",2,100,900,0.862,0.457,0.847
"81",2,100,1000,0.888,0.521,0.874
"82",3,1,200,1,1,1
"83",3,1,300,1,1,1
"84",3,1,400,1,1,1
"85",3,1,500,1,1,1
"86",3,1,600,1,1,1
"87",3,1,700,1,1,1
"88",3,1,800,1,1,1
"89",3,1,900,1,1,1
"90",3,1,1000,1,1,1
"91",3,10,200,1,1,1
"92",3,10,300,1,1,1
"93",3,10,400,1,1,1
"94",3,10,500,1,1,1
"95",3,10,600,1,1,1
"96",3,10,700,1,1,1
"97",3,10,800,1,1,1
"98",3,10,900,1,1,1
"99",3,10,1000,1,1,1
"100",3,100,200,0.553,0.251,0.696
"101",3,100,300,0.749,0.388,0.818
"102",3,100,400,0.847,0.51,0.885
"103",3,100,500,0.917,0.646,0.927
"104",3,100,600,0.96,0.727,0.967
"105",3,100,700,0.975,0.812,0.977
"106",3,100,800,0.988,0.865,0.988
"107",3,100,900,0.996,0.932,0.996
"108",3,100,1000,0.998,0.951,0.998
"109",4,1,200,1,1,1
"110",4,1,300,1,1,1
"111",4,1,400,1,1,1
"112",4,1,500,1,1,1
"113",4,1,600,1,1,1
"114",4,1,700,1,1,1
"115",4,1,800,1,1,1
"116",4,1,900,1,1,1
"117",4,1,1000,1,1,1
"118",4,10,200,1,1,1
"119",4,10,300,1,1,1
"120",4,10,400,1,1,1
"121",4,10,500,1,1,1
"122",4,10,600,1,1,1
"123",4,10,700,1,1,1
"124",4,10,800,1,1,1
"125",4,10,900,1,1,1
"126",4,10,1000,1,1,1
"127",4,100,200,0.798,0.499,0.9
"128",4,100,300,0.927,0.722,0.957
"129",4,100,400,0.978,0.85,0.989
"130",4,100,500,0.992,0.926,0.993
"131",4,100,600,0.996,0.975,0.997
"132",4,100,700,0.998,0.985,0.998
"133",4,100,800,1,0.995,1
"134",4,100,900,1,0.999,1
"135",4,100,1000,1,0.999,1
