"","N","n2","v1","es1","es2","power","pexch","pexch_cutoff","pexch_power"
"1",200,0.5,1,1,1,0.0471,0.36858,1,0.70302
"2",400,0.5,1,1,1,0.0498,0.30008,0.9202,0.62941
"3",600,0.5,1,1,1,0.0516,0.26455,0.5192,0.59107
"4",800,0.5,1,1,1,0.0471,0.23827,0.4047,0.5388
"5",1000,0.5,1,1,1,0.0485,0.22116,0.3426,0.51264
"6",200,0.5,1,1,1.1,0.1085,0.41713,1,0.27354
"7",400,0.5,1,1,1.1,0.1694,0.39571,0.9532,0.21501
"8",600,0.5,1,1,1.1,0.2338,0.40499,0.754,0.18955
"9",800,0.5,1,1,1.1,0.2951,0.42444,0.7323,0.17835
"10",1000,0.5,1,1,1.1,0.3486,0.44423,0.7399,0.17741
"11",200,0.5,1,1,1.2,0.2899,0.55121,1,0.30402
"12",400,0.5,1,1,1.2,0.5141,0.63438,0.9884,0.33428
"13",600,0.5,1,1,1.2,0.687,0.71619,0.9659,0.42636
"14",800,0.5,1,1,1.2,0.8048,0.78943,0.9758,0.55791
"15",1000,0.5,1,1,1.2,0.889,0.84937,0.9847,0.70693
"16",200,0.5,1,1,1.3,0.5597,0.71441,1,0.44674
"17",400,0.5,1,1,1.3,0.8537,0.86039,0.999,0.73547
"18",600,0.5,1,1,1.3,0.9562,0.93535,0.9991,0.92141
"19",800,0.5,1,1,1.3,0.9883,0.97209,0.9998,0.98282
"20",1000,0.5,1,1,1.3,0.9959,0.98755,0.9998,0.99667
"21",200,0.5,1,1,1.4,0.8117,0.86,1,0.73147
"22",400,0.5,1,1,1.4,0.9778,0.96687,1,0.97359
"23",600,0.5,1,1,1.4,0.9982,0.99356,1,0.99857
"24",800,0.5,1,1,1.4,1,0.9989,1,0.99995
"25",1000,0.5,1,1,1.4,1,0.99974,1,1
"26",200,0.5,1,1,1.5,0.9377,0.94268,1,0.92454
"27",400,0.5,1,1,1.5,0.9988,0.99566,1,0.99922
"28",600,0.5,1,1,1.5,1,0.99976,1,1
"29",800,0.5,1,1,1.5,1,0.99999,1,1
"30",1000,0.5,1,1,1.5,1,1,1,1
"31",200,0.5,1,1,1.6,0.9886,0.98307,1,0.99019
"32",400,0.5,1,1,1.6,1,0.99966,1,0.99999
"33",600,0.5,1,1,1.6,1,1,1,1
"34",800,0.5,1,1,1.6,1,1,1,1
"35",1000,0.5,1,1,1.6,1,1,1,1
"36",200,0.5,1,1,1.7,0.9986,0.99628,1,0.99938
"37",400,0.5,1,1,1.7,1,0.99999,1,1
"38",600,0.5,1,1,1.7,1,1,1,1
"39",800,0.5,1,1,1.7,1,1,1,1
"40",1000,0.5,1,1,1.7,1,1,1,1
"41",200,0.5,1,1,1.8,1,0.9994,1,0.99997
"42",400,0.5,1,1,1.8,1,1,1,1
"43",600,0.5,1,1,1.8,1,1,1,1
"44",800,0.5,1,1,1.8,1,1,1,1
"45",1000,0.5,1,1,1.8,1,1,1,1
"46",200,0.5,1,1,1.9,1,0.99991,1,1
"47",400,0.5,1,1,1.9,1,1,1,1
"48",600,0.5,1,1,1.9,1,1,1,1
"49",800,0.5,1,1,1.9,1,1,1,1
"50",1000,0.5,1,1,1.9,1,1,1,1
"51",200,0.5,1,1,2,1,0.99999,1,1
"52",400,0.5,1,1,2,1,1,1,1
"53",600,0.5,1,1,2,1,1,1,1
"54",800,0.5,1,1,2,1,1,1,1
"55",1000,0.5,1,1,2,1,1,1,1
