"","source1te","source2te","var","totsampsize","plt05","pnexchgt080","pnexchgt020"
"1",1,1,1,200,0.059,0.004,0.116
"2",1,1,1,300,0.046,0.004,0.091
"3",1,1,1,400,0.063,0,0.085
"4",1,1,1,500,0.057,0.002,0.076
"5",1,1,1,600,0.055,0.002,0.06
"6",1,1,1,700,0.059,0.002,0.062
"7",1,1,1,800,0.04,0.001,0.037
"8",1,1,1,900,0.065,0.002,0.06
"9",1,1,1,1000,0.055,0.001,0.043
"10",1,2,1,200,0.337,0.085,0.476
"11",1,2,1,300,0.45,0.141,0.554
"12",1,2,1,400,0.558,0.221,0.624
"13",1,2,1,500,0.671,0.277,0.721
"14",1,2,1,600,0.732,0.336,0.746
"15",1,2,1,700,0.811,0.425,0.815
"16",1,2,1,800,0.859,0.495,0.854
"17",1,2,1,900,0.889,0.576,0.882
"18",1,2,1,1000,0.91,0.596,0.901
"19",1,3,1,200,0.766,0.441,0.882
"20",1,3,1,300,0.914,0.641,0.947
"21",1,3,1,400,0.952,0.774,0.967
"22",1,3,1,500,0.989,0.887,0.991
"23",1,3,1,600,0.997,0.934,0.998
"24",1,3,1,700,0.997,0.972,0.997
"25",1,3,1,800,1,0.991,1
"26",1,3,1,900,1,0.992,1
"27",1,3,1,1000,1,0.998,1
"28",1,4,1,200,0.926,0.74,0.97
"29",1,4,1,300,0.986,0.907,0.989
"30",1,4,1,400,0.997,0.957,0.998
"31",1,4,1,500,1,0.993,1
"32",1,4,1,600,1,0.998,1
"33",1,4,1,700,1,1,1
"34",1,4,1,800,1,1,1
"35",1,4,1,900,1,1,1
"36",1,4,1,1000,1,1,1
"37",1,5,1,200,0.98,0.867,0.991
"38",1,5,1,300,0.998,0.976,0.999
"39",1,5,1,400,1,0.995,1
"40",1,5,1,500,1,1,1
"41",1,5,1,600,1,1,1
"42",1,5,1,700,1,1,1
"43",1,5,1,800,1,1,1
"44",1,5,1,900,1,1,1
"45",1,5,1,1000,1,1,1
"46",1,6,1,200,0.995,0.917,0.995
"47",1,6,1,300,0.999,0.993,1
"48",1,6,1,400,1,0.998,1
"49",1,6,1,500,1,1,1
"50",1,6,1,600,1,1,1
"51",1,6,1,700,1,1,1
"52",1,6,1,800,1,1,1
"53",1,6,1,900,1,1,1
"54",1,6,1,1000,1,1,1
