"","pc1","pc2","pt1","pt2","n2mult","totsampsize","plt05","pnexchgt090","pnexchgt080","pnexchgt0798","pnexchgt020"
"1",0.1,0.1,0.2,0.2,0.1,200,0.062,0.003,0.005,0.005,0.147
"2",0.1,0.1,0.2,0.2,0.1,300,0.084,0,0.007,0.007,0.139
"3",0.1,0.1,0.2,0.2,0.1,400,0.076,0.001,0.005,0.005,0.104
"4",0.1,0.1,0.2,0.2,0.1,500,0.078,0.003,0.004,0.004,0.094
"5",0.1,0.1,0.2,0.2,0.1,600,0.065,0.001,0.003,0.003,0.073
"6",0.1,0.1,0.2,0.2,0.1,700,0.074,0.001,0.003,0.003,0.078
"7",0.1,0.1,0.2,0.2,0.1,800,0.063,0.001,0.001,0.001,0.06
"8",0.1,0.1,0.2,0.2,0.1,900,0.06,0,0.002,0.002,0.051
"9",0.1,0.1,0.2,0.2,0.1,1000,0.059,0,0.001,0.001,0.047
"10",0.1,0.1,0.2,0.2,0.25,200,0.077,0.003,0.006,0.006,0.157
"11",0.1,0.1,0.2,0.2,0.25,300,0.053,0.002,0.003,0.003,0.093
"12",0.1,0.1,0.2,0.2,0.25,400,0.062,0.001,0.003,0.003,0.082
"13",0.1,0.1,0.2,0.2,0.25,500,0.063,0.002,0.006,0.006,0.076
"14",0.1,0.1,0.2,0.2,0.25,600,0.055,0,0.001,0.001,0.062
"15",0.1,0.1,0.2,0.2,0.25,700,0.053,0.001,0.003,0.003,0.055
"16",0.1,0.1,0.2,0.2,0.25,800,0.06,0.002,0.003,0.003,0.058
"17",0.1,0.1,0.2,0.2,0.25,900,0.052,0.001,0.002,0.002,0.048
"18",0.1,0.1,0.2,0.2,0.25,1000,0.064,0,0.001,0.001,0.045
"19",0.1,0.1,0.2,0.3,0.1,200,0.086,0.002,0.004,0.004,0.183
"20",0.1,0.1,0.2,0.3,0.1,300,0.115,0.002,0.01,0.01,0.193
"21",0.1,0.1,0.2,0.3,0.1,400,0.124,0.005,0.01,0.01,0.151
"22",0.1,0.1,0.2,0.3,0.1,500,0.117,0.009,0.015,0.015,0.137
"23",0.1,0.1,0.2,0.3,0.1,600,0.122,0.003,0.012,0.012,0.133
"24",0.1,0.1,0.2,0.3,0.1,700,0.141,0.01,0.017,0.017,0.145
"25",0.1,0.1,0.2,0.3,0.1,800,0.147,0.008,0.016,0.017,0.139
"26",0.1,0.1,0.2,0.3,0.1,900,0.163,0.011,0.019,0.019,0.15
"27",0.1,0.1,0.2,0.3,0.1,1000,0.157,0.005,0.011,0.011,0.143
"28",0.1,0.1,0.2,0.3,0.25,200,0.095,0.007,0.015,0.015,0.181
"29",0.1,0.1,0.2,0.3,0.25,300,0.115,0.009,0.018,0.018,0.184
"30",0.1,0.1,0.2,0.3,0.25,400,0.15,0.005,0.017,0.017,0.183
"31",0.1,0.1,0.2,0.3,0.25,500,0.159,0.015,0.03,0.03,0.183
"32",0.1,0.1,0.2,0.3,0.25,600,0.203,0.007,0.021,0.022,0.218
"33",0.1,0.1,0.2,0.3,0.25,700,0.189,0.014,0.026,0.026,0.192
"34",0.1,0.1,0.2,0.3,0.25,800,0.245,0.013,0.031,0.032,0.24
"35",0.1,0.1,0.2,0.3,0.25,900,0.26,0.017,0.042,0.042,0.252
"36",0.1,0.1,0.2,0.3,0.25,1000,0.258,0.025,0.037,0.037,0.239
"37",0.1,0.1,0.2,0.4,0.1,200,0.158,0.007,0.015,0.015,0.271
"38",0.1,0.1,0.2,0.4,0.1,300,0.218,0.013,0.037,0.037,0.291
"39",0.1,0.1,0.2,0.4,0.1,400,0.232,0.024,0.045,0.046,0.276
"40",0.1,0.1,0.2,0.4,0.1,500,0.245,0.025,0.042,0.043,0.281
"41",0.1,0.1,0.2,0.4,0.1,600,0.266,0.03,0.052,0.053,0.286
"42",0.1,0.1,0.2,0.4,0.1,700,0.345,0.043,0.075,0.076,0.348
"43",0.1,0.1,0.2,0.4,0.1,800,0.357,0.047,0.067,0.067,0.348
"44",0.1,0.1,0.2,0.4,0.1,900,0.396,0.057,0.093,0.093,0.377
"45",0.1,0.1,0.2,0.4,0.1,1000,0.429,0.052,0.083,0.083,0.402
"46",0.1,0.1,0.2,0.4,0.25,200,0.204,0.024,0.047,0.047,0.324
"47",0.1,0.1,0.2,0.4,0.25,300,0.267,0.035,0.056,0.057,0.36
"48",0.1,0.1,0.2,0.4,0.25,400,0.355,0.045,0.084,0.084,0.415
"49",0.1,0.1,0.2,0.4,0.25,500,0.421,0.062,0.099,0.1,0.461
"50",0.1,0.1,0.2,0.4,0.25,600,0.513,0.089,0.148,0.149,0.538
"51",0.1,0.1,0.2,0.4,0.25,700,0.534,0.101,0.159,0.159,0.548
"52",0.1,0.1,0.2,0.4,0.25,800,0.593,0.137,0.212,0.213,0.587
"53",0.1,0.1,0.2,0.4,0.25,900,0.65,0.165,0.239,0.239,0.63
"54",0.1,0.1,0.2,0.4,0.25,1000,0.703,0.197,0.252,0.256,0.67
"55",0.1,0.1,0.2,0.5,0.1,200,0.26,0.023,0.039,0.04,0.401
"56",0.1,0.1,0.2,0.5,0.1,300,0.323,0.045,0.082,0.082,0.407
"57",0.1,0.1,0.2,0.5,0.1,400,0.372,0.056,0.097,0.099,0.442
"58",0.1,0.1,0.2,0.5,0.1,500,0.464,0.074,0.115,0.116,0.51
"59",0.1,0.1,0.2,0.5,0.1,600,0.514,0.086,0.138,0.139,0.537
"60",0.1,0.1,0.2,0.5,0.1,700,0.604,0.128,0.184,0.187,0.61
"61",0.1,0.1,0.2,0.5,0.1,800,0.634,0.146,0.213,0.214,0.626
"62",0.1,0.1,0.2,0.5,0.1,900,0.706,0.188,0.259,0.26,0.695
"63",0.1,0.1,0.2,0.5,0.1,1000,0.723,0.173,0.271,0.276,0.704
"64",0.1,0.1,0.2,0.5,0.25,200,0.363,0.068,0.101,0.103,0.5
"65",0.1,0.1,0.2,0.5,0.25,300,0.499,0.108,0.17,0.171,0.583
"66",0.1,0.1,0.2,0.5,0.25,400,0.604,0.166,0.238,0.24,0.662
"67",0.1,0.1,0.2,0.5,0.25,500,0.712,0.218,0.311,0.312,0.739
"68",0.1,0.1,0.2,0.5,0.25,600,0.804,0.301,0.395,0.399,0.817
"69",0.1,0.1,0.2,0.5,0.25,700,0.829,0.339,0.464,0.466,0.834
"70",0.1,0.1,0.2,0.5,0.25,800,0.885,0.441,0.543,0.546,0.884
"71",0.1,0.1,0.2,0.5,0.25,900,0.922,0.477,0.593,0.594,0.916
"72",0.1,0.1,0.2,0.5,0.25,1000,0.934,0.576,0.665,0.666,0.929
"73",0.1,0.1,0.2,0.6,0.1,200,0.377,0.058,0.101,0.101,0.515
"74",0.1,0.1,0.2,0.6,0.1,300,0.463,0.09,0.152,0.153,0.573
"75",0.1,0.1,0.2,0.6,0.1,400,0.571,0.139,0.2,0.2,0.624
"76",0.1,0.1,0.2,0.6,0.1,500,0.694,0.188,0.264,0.264,0.737
"77",0.1,0.1,0.2,0.6,0.1,600,0.744,0.243,0.347,0.348,0.767
"78",0.1,0.1,0.2,0.6,0.1,700,0.836,0.322,0.423,0.424,0.842
"79",0.1,0.1,0.2,0.6,0.1,800,0.854,0.351,0.456,0.46,0.851
"80",0.1,0.1,0.2,0.6,0.1,900,0.903,0.452,0.558,0.558,0.895
"81",0.1,0.1,0.2,0.6,0.1,1000,0.921,0.479,0.597,0.6,0.914
"82",0.1,0.1,0.2,0.6,0.25,200,0.528,0.15,0.226,0.228,0.671
"83",0.1,0.1,0.2,0.6,0.25,300,0.709,0.259,0.352,0.354,0.795
"84",0.1,0.1,0.2,0.6,0.25,400,0.819,0.357,0.451,0.451,0.86
"85",0.1,0.1,0.2,0.6,0.25,500,0.917,0.513,0.619,0.619,0.931
"86",0.1,0.1,0.2,0.6,0.25,600,0.957,0.602,0.697,0.698,0.959
"87",0.1,0.1,0.2,0.6,0.25,700,0.97,0.696,0.766,0.769,0.971
"88",0.1,0.1,0.2,0.6,0.25,800,0.987,0.782,0.856,0.857,0.987
"89",0.1,0.1,0.2,0.6,0.25,900,0.996,0.851,0.905,0.906,0.992
"90",0.1,0.1,0.2,0.6,0.25,1000,0.996,0.902,0.938,0.94,0.995
