"","source1te","source2te","n2mult","var","totsampsize","plt05","pnexchgt080","pnexchgt020"
"1",1,1,0.1,10,200,0.055,0.01,0.141
"2",1,1,0.1,10,300,0.05,0.003,0.091
"3",1,1,0.1,10,400,0.042,0.002,0.072
"4",1,1,0.1,10,500,0.053,0.003,0.069
"5",1,1,0.1,10,600,0.055,0.001,0.064
"6",1,1,0.1,10,700,0.054,0.003,0.061
"7",1,1,0.1,10,800,0.055,0.003,0.052
"8",1,1,0.1,10,900,0.053,0.003,0.05
"9",1,1,0.1,10,1000,0.046,0.001,0.042
"10",1,1,0.25,10,200,0.052,0.007,0.116
"11",1,1,0.25,10,300,0.045,0.002,0.101
"12",1,1,0.25,10,400,0.042,0.005,0.066
"13",1,1,0.25,10,500,0.056,0.004,0.077
"14",1,1,0.25,10,600,0.051,0.002,0.061
"15",1,1,0.25,10,700,0.043,0,0.048
"16",1,1,0.25,10,800,0.042,0.004,0.043
"17",1,1,0.25,10,900,0.051,0.002,0.047
"18",1,1,0.25,10,1000,0.049,0.001,0.043
"19",1,2,0.1,10,200,0.101,0.026,0.211
"20",1,2,0.1,10,300,0.125,0.025,0.211
"21",1,2,0.1,10,400,0.15,0.021,0.214
"22",1,2,0.1,10,500,0.197,0.027,0.242
"23",1,2,0.1,10,600,0.21,0.045,0.242
"24",1,2,0.1,10,700,0.225,0.045,0.241
"25",1,2,0.1,10,800,0.265,0.043,0.27
"26",1,2,0.1,10,900,0.308,0.052,0.301
"27",1,2,0.1,10,1000,0.315,0.052,0.29
"28",1,2,0.25,10,200,0.171,0.034,0.312
"29",1,2,0.25,10,300,0.226,0.054,0.306
"30",1,2,0.25,10,400,0.256,0.049,0.312
"31",1,2,0.25,10,500,0.314,0.077,0.356
"32",1,2,0.25,10,600,0.375,0.093,0.395
"33",1,2,0.25,10,700,0.484,0.129,0.493
"34",1,2,0.25,10,800,0.488,0.128,0.496
"35",1,2,0.25,10,900,0.527,0.159,0.517
"36",1,2,0.25,10,1000,0.617,0.177,0.586
"37",1,3,0.1,10,200,0.236,0.079,0.403
"38",1,3,0.1,10,300,0.385,0.109,0.483
"39",1,3,0.1,10,400,0.49,0.137,0.574
"40",1,3,0.1,10,500,0.559,0.202,0.604
"41",1,3,0.1,10,600,0.648,0.241,0.67
"42",1,3,0.1,10,700,0.691,0.277,0.715
"43",1,3,0.1,10,800,0.747,0.343,0.751
"44",1,3,0.1,10,900,0.815,0.43,0.802
"45",1,3,0.1,10,1000,0.849,0.45,0.832
"46",1,3,0.25,10,200,0.51,0.213,0.69
"47",1,3,0.25,10,300,0.645,0.299,0.761
"48",1,3,0.25,10,400,0.778,0.376,0.833
"49",1,3,0.25,10,500,0.846,0.51,0.872
"50",1,3,0.25,10,600,0.913,0.632,0.927
"51",1,3,0.25,10,700,0.968,0.741,0.969
"52",1,3,0.25,10,800,0.981,0.809,0.981
"53",1,3,0.25,10,900,0.982,0.833,0.98
"54",1,3,0.25,10,1000,0.989,0.905,0.989
"55",1,4,0.1,10,200,0.475,0.186,0.652
"56",1,4,0.1,10,300,0.688,0.324,0.777
"57",1,4,0.1,10,400,0.812,0.469,0.844
"58",1,4,0.1,10,500,0.866,0.558,0.886
"59",1,4,0.1,10,600,0.937,0.665,0.943
"60",1,4,0.1,10,700,0.965,0.749,0.967
"61",1,4,0.1,10,800,0.975,0.802,0.978
"62",1,4,0.1,10,900,0.991,0.871,0.989
"63",1,4,0.1,10,1000,0.993,0.908,0.992
"64",1,4,0.25,10,200,0.84,0.549,0.919
"65",1,4,0.25,10,300,0.932,0.747,0.963
"66",1,4,0.25,10,400,0.987,0.879,0.991
"67",1,4,0.25,10,500,0.994,0.937,0.994
"68",1,4,0.25,10,600,1,0.978,1
"69",1,4,0.25,10,700,1,0.997,1
"70",1,4,0.25,10,800,1,0.996,1
"71",1,4,0.25,10,900,1,0.998,1
"72",1,4,0.25,10,1000,1,1,1
"73",1,5,0.1,10,200,0.745,0.386,0.842
"74",1,5,0.1,10,300,0.899,0.613,0.94
"75",1,5,0.1,10,400,0.969,0.774,0.988
"76",1,5,0.1,10,500,0.981,0.849,0.983
"77",1,5,0.1,10,600,0.996,0.941,0.996
"78",1,5,0.1,10,700,1,0.974,0.999
"79",1,5,0.1,10,800,0.999,0.98,0.999
"80",1,5,0.1,10,900,0.999,0.995,0.999
"81",1,5,0.1,10,1000,1,0.996,1
"82",1,5,0.25,10,200,0.974,0.862,0.986
"83",1,5,0.25,10,300,0.999,0.959,1
"84",1,5,0.25,10,400,0.999,0.996,0.999
"85",1,5,0.25,10,500,1,0.997,1
"86",1,5,0.25,10,600,1,1,1
"87",1,5,0.25,10,700,1,1,1
"88",1,5,0.25,10,800,1,1,1
"89",1,5,0.25,10,900,1,1,1
"90",1,5,0.25,10,1000,1,1,1
"91",1,6,0.1,10,200,0.896,0.636,0.955
"92",1,6,0.1,10,300,0.983,0.857,0.991
"93",1,6,0.1,10,400,0.999,0.948,0.999
"94",1,6,0.1,10,500,1,0.98,1
"95",1,6,0.1,10,600,1,0.995,1
"96",1,6,0.1,10,700,1,1,1
"97",1,6,0.1,10,800,1,0.999,1
"98",1,6,0.1,10,900,1,1,1
"99",1,6,0.1,10,1000,1,1,1
"100",1,6,0.25,10,200,0.996,0.978,0.998
"101",1,6,0.25,10,300,1,1,1
"102",1,6,0.25,10,400,1,1,1
"103",1,6,0.25,10,500,1,1,1
"104",1,6,0.25,10,600,1,1,1
"105",1,6,0.25,10,700,1,1,1
"106",1,6,0.25,10,800,1,1,1
"107",1,6,0.25,10,900,1,1,1
"108",1,6,0.25,10,1000,1,1,1
