"","source1te","source2te","var","totsampsize","plt05","pnexchgt080","pnexchgt020"
"1",1,1,1,200,0.06,0.007,0.124
"2",1,1,1,300,0.044,0.003,0.076
"3",1,1,1,400,0.043,0.001,0.067
"4",1,1,1,500,0.063,0.003,0.077
"5",1,1,1,600,0.056,0.004,0.061
"6",1,1,1,700,0.046,0.005,0.05
"7",1,1,1,800,0.05,0.003,0.049
"8",1,1,1,900,0.043,0.002,0.035
"9",1,1,1,1000,0.043,0.003,0.034
"10",1,1,10,200,0.06,0.007,0.124
"11",1,1,10,300,0.044,0.003,0.076
"12",1,1,10,400,0.043,0.001,0.067
"13",1,1,10,500,0.063,0.003,0.077
"14",1,1,10,600,0.056,0.004,0.061
"15",1,1,10,700,0.046,0.005,0.05
"16",1,1,10,800,0.05,0.003,0.049
"17",1,1,10,900,0.043,0.002,0.035
"18",1,1,10,1000,0.043,0.003,0.034
"19",1,1,100,200,0.06,0.007,0.124
"20",1,1,100,300,0.044,0.003,0.076
"21",1,1,100,400,0.043,0.001,0.067
"22",1,1,100,500,0.063,0.003,0.077
"23",1,1,100,600,0.056,0.004,0.061
"24",1,1,100,700,0.046,0.005,0.05
"25",1,1,100,800,0.05,0.003,0.049
"26",1,1,100,900,0.043,0.002,0.035
"27",1,1,100,1000,0.043,0.003,0.034
"28",1,2,1,200,0.95,0.785,0.98
"29",1,2,1,300,0.99,0.923,0.994
"30",1,2,1,400,0.998,0.985,0.999
"31",1,2,1,500,1,0.991,1
"32",1,2,1,600,1,0.997,1
"33",1,2,1,700,1,1,1
"34",1,2,1,800,1,1,1
"35",1,2,1,900,1,1,1
"36",1,2,1,1000,1,1,1
"37",1,2,10,200,0.199,0.061,0.329
"38",1,2,10,300,0.281,0.051,0.388
"39",1,2,10,400,0.362,0.098,0.446
"40",1,2,10,500,0.433,0.127,0.484
"41",1,2,10,600,0.504,0.15,0.528
"42",1,2,10,700,0.565,0.175,0.577
"43",1,2,10,800,0.604,0.219,0.6
"44",1,2,10,900,0.674,0.233,0.661
