"","source1te","source2te","var","totsampsize","plt05","pnexchgt080","pnexchgt090","pnexchgt0798","pnexchgt020","beanzCI"
"1",1,1,1,200,0.051,0.007,0.004,0.007,0.124,0.941
"2",1,1,1,300,0.051,0.007,0.003,0.007,0.09,0.946
"3",1,1,1,400,0.05,0.003,0.001,0.003,0.072,0.948
"4",1,1,1,500,0.046,0.006,0.004,0.006,0.061,0.951
"5",1,1,1,600,0.044,0.002,0.002,0.002,0.056,0.948
"6",1,1,1,700,0.055,0.003,0.001,0.003,0.059,0.94
"7",1,1,1,800,0.047,0.001,0,0.002,0.046,0.949
"8",1,1,1,900,0.05,0.002,0,0.002,0.04,0.941
"9",1,1,1,1000,0.032,0.001,0,0.001,0.028,0.962
"10",1,1,10,200,0.051,0.007,0.004,0.007,0.124,0.947
"11",1,1,10,300,0.051,0.007,0.003,0.007,0.09,0.948
"12",1,1,10,400,0.05,0.003,0.001,0.003,0.072,0.949
"13",1,1,10,500,0.046,0.006,0.004,0.006,0.061,0.953
"14",1,1,10,600,0.044,0.002,0.002,0.002,0.056,0.95
"15",1,1,10,700,0.055,0.003,0.001,0.003,0.059,0.943
"16",1,1,10,800,0.047,0.001,0,0.002,0.046,0.951
"17",1,1,10,900,0.05,0.002,0,0.002,0.04,0.95
"18",1,1,10,1000,0.032,0.001,0,0.001,0.028,0.966
"19",1,1,100,200,0.051,0.007,0.004,0.007,0.124,0.947
"20",1,1,100,300,0.051,0.007,0.003,0.007,0.09,0.95
"21",1,1,100,400,0.05,0.003,0.001,0.003,0.072,0.952
"22",1,1,100,500,0.046,0.006,0.004,0.006,0.061,0.956
"23",1,1,100,600,0.044,0.002,0.002,0.002,0.056,0.955
"24",1,1,100,700,0.055,0.003,0.001,0.003,0.059,0.945
"25",1,1,100,800,0.047,0.001,0,0.002,0.046,0.954
"26",1,1,100,900,0.05,0.002,0,0.002,0.04,0.949
"27",1,1,100,1000,0.032,0.001,0,0.001,0.028,0.967
"28",1,2,1,200,0.937,0.77,0.669,0.772,0.977,0.057
"29",1,2,1,300,0.987,0.913,0.874,0.914,0.994,0.013
"30",1,2,1,400,0.999,0.985,0.964,0.985,0.999,0.001
"31",1,2,1,500,1,0.993,0.988,0.993,1,0
"32",1,2,1,600,1,0.999,0.999,0.999,1,0
"33",1,2,1,700,1,1,1,1,1,0
"34",1,2,1,800,1,1,1,1,1,0
"35",1,2,1,900,1,1,1,1,1,0
"36",1,2,1,1000,1,1,1,1,1,0
"37",1,2,10,200,0.204,0.045,0.026,0.045,0.363,0.783
"38",1,2,10,300,0.265,0.058,0.031,0.058,0.366,0.731
"39",1,2,10,400,0.374,0.095,0.05,0.095,0.438,0.618
"40",1,2,10,500,0.395,0.093,0.051,0.095,0.442,0.594
"41",1,2,10,600,0.498,0.141,0.095,0.143,0.529,0.495
"42",1,2,10,700,0.545,0.172,0.112,0.173,0.558,0.443
"43",1,2,10,800,0.626,0.211,0.136,0.212,0.62,0.367
"44",1,2,10,900,0.62,0.225,0.156,0.228,0.606,0.372
"45",1,2,10,1000,0.692,0.274,0.186,0.275,0.668,0.304
"46",1,2,100,200,0.067,0.008,0.004,0.008,0.153,0.935
"47",1,2,100,300,0.068,0.009,0.007,0.009,0.122,0.931
"48",1,2,100,400,0.075,0.008,0.003,0.008,0.117,0.924
"49",1,2,100,500,0.074,0.007,0.004,0.007,0.094,0.924
"50",1,2,100,600,0.096,0.003,0.002,0.003,0.109,0.904
"51",1,2,100,700,0.1,0.011,0.007,0.011,0.105,0.897
"52",1,2,100,800,0.103,0.008,0.002,0.008,0.101,0.893
"53",1,2,100,900,0.105,0.01,0.005,0.01,0.099,0.893
