"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"1",1,"binary",100,100,0.5,0.5,NA,NA,NA,NA,0.0488,0.0487,0.0555,0.049,0.0382,"calibrated",0.05
"2",1,"binary",100,100,0.5,0.6,NA,NA,NA,NA,0.3026,0.3,0.31,0.2985,0.2632,"calibrated",0.05
"3",1,"binary",100,100,0.5,0.7,NA,NA,NA,NA,0.83,0.8301,0.8318,0.8295,0.7955,"calibrated",0.05
"4",1,"binary",100,100,0.5,0.8,NA,NA,NA,NA,0.9951,0.9952,0.9955,0.9951,0.9936,"calibrated",0.05
"5",1,"binary",100,100,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"6",1,"binary",150,150,0.5,0.5,NA,NA,NA,NA,0.0497,0.0497,0.0547,0.0497,0.0391,"calibrated",0.05
"7",1,"binary",150,150,0.5,0.6,NA,NA,NA,NA,0.4227,0.4227,0.4264,0.4227,0.3807,"calibrated",0.05
"8",1,"binary",150,150,0.5,0.7,NA,NA,NA,NA,0.9476,0.9477,0.9478,0.9476,0.9324,"calibrated",0.05
"9",1,"binary",150,150,0.5,0.8,NA,NA,NA,NA,0.9997,0.9997,0.9997,0.9997,0.9997,"calibrated",0.05
"10",1,"binary",150,150,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"11",1,"binary",200,200,0.5,0.5,NA,NA,NA,NA,0.0489,0.0489,0.051,0.0489,0.0407,"calibrated",0.05
"12",1,"binary",200,200,0.5,0.6,NA,NA,NA,NA,0.5137,0.5137,0.5154,0.5137,0.4782,"calibrated",0.05
"13",1,"binary",200,200,0.5,0.7,NA,NA,NA,NA,0.9827,0.9827,0.9838,0.9827,0.9793,"calibrated",0.05
"14",1,"binary",200,200,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"15",1,"binary",200,200,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"16",1,"binary",250,250,0.5,0.5,NA,NA,NA,NA,0.049,0.0493,0.0555,0.0498,0.0456,"calibrated",0.05
"17",1,"binary",250,250,0.5,0.6,NA,NA,NA,NA,0.6185,0.6191,0.6215,0.6192,0.5842,"calibrated",0.05
"18",1,"binary",250,250,0.5,0.7,NA,NA,NA,NA,0.9962,0.9962,0.9962,0.9962,0.9943,"calibrated",0.05
"19",1,"binary",250,250,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"20",1,"binary",250,250,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"21",1,"binary",300,300,0.5,0.5,NA,NA,NA,NA,0.0499,0.05,0.0583,0.0499,0.0452,"calibrated",0.05
"22",1,"binary",300,300,0.5,0.6,NA,NA,NA,NA,0.7003,0.7003,0.7073,0.7003,0.6766,"calibrated",0.05
"23",1,"binary",300,300,0.5,0.7,NA,NA,NA,NA,0.999,0.999,0.999,0.999,0.9988,"calibrated",0.05
"24",1,"binary",300,300,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"25",1,"binary",300,300,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"26",1,"binary",350,350,0.5,0.5,NA,NA,NA,NA,0.0496,0.05,0.054,0.0496,0.0457,"calibrated",0.05
"27",1,"binary",350,350,0.5,0.6,NA,NA,NA,NA,0.7651,0.7654,0.7658,0.7651,0.7399,"calibrated",0.05
"28",1,"binary",350,350,0.5,0.7,NA,NA,NA,NA,0.9998,0.9998,0.9998,0.9998,0.9998,"calibrated",0.05
"29",1,"binary",350,350,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"30",1,"binary",350,350,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"31",1,"binary",400,400,0.5,0.5,NA,NA,NA,NA,0.0498,0.05,0.0542,0.05,0.0469,"calibrated",0.05
"32",1,"binary",400,400,0.5,0.6,NA,NA,NA,NA,0.8109,0.8109,0.8111,0.8109,0.7902,"calibrated",0.05
"33",1,"binary",400,400,0.5,0.7,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"34",1,"binary",400,400,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"35",1,"binary",400,400,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"36",1,"binary",450,450,0.5,0.5,NA,NA,NA,NA,0.0497,0.0498,0.0458,0.0497,0.039,"calibrated",0.05
"37",1,"binary",450,450,0.5,0.6,NA,NA,NA,NA,0.8666,0.8666,0.8519,0.8666,0.8347,"calibrated",0.05
"38",1,"binary",450,450,0.5,0.7,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"39",1,"binary",450,450,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"40",1,"binary",450,450,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"41",1,"binary",500,500,0.5,0.5,NA,NA,NA,NA,0.0494,0.0494,0.0546,0.0498,0.0464,"calibrated",0.05
"42",1,"binary",500,500,0.5,0.6,NA,NA,NA,NA,0.8926,0.8926,0.8931,0.8926,0.8806,"calibrated",0.05
"43",1,"binary",500,500,0.5,0.7,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"44",1,"binary",500,500,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"45",1,"binary",500,500,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"46",2,"binary",100,100,0.5,0.5,NA,NA,0.1,0.1,0.05,0.05,0.0542,NA,NA,"calibrated",0.05
"47",2,"binary",100,100,0.5,0.5,NA,NA,0.1,0.2,0.1085,0.1166,0.1204,NA,NA,"calibrated",0.05
"48",2,"binary",100,100,0.5,0.5,NA,NA,0.1,0.3,0.3056,0.3673,0.3813,NA,NA,"calibrated",0.05
"49",2,"binary",100,100,0.5,0.5,NA,NA,0.1,0.4,0.6266,0.7869,0.8005,NA,NA,"calibrated",0.05
"50",2,"binary",100,100,0.5,0.5,NA,NA,0.1,0.5,0.8955,1,1,NA,NA,"calibrated",0.05
"51",2,"binary",150,150,0.5,0.5,NA,NA,0.1,0.1,0.05,0.05,0.0509,NA,NA,"calibrated",0.05
"52",2,"binary",150,150,0.5,0.5,NA,NA,0.1,0.2,0.1468,0.1585,0.1595,NA,NA,"calibrated",0.05
"53",2,"binary",150,150,0.5,0.5,NA,NA,0.1,0.3,0.4431,0.519,0.5226,NA,NA,"calibrated",0.05
"54",2,"binary",150,150,0.5,0.5,NA,NA,0.1,0.4,0.8065,0.9248,0.9262,NA,NA,"calibrated",0.05
"55",2,"binary",150,150,0.5,0.5,NA,NA,0.1,0.5,0.9836,1,1,NA,NA,"calibrated",0.05
"56",2,"binary",200,200,0.5,0.5,NA,NA,0.1,0.1,0.05,0.05,0.0499,NA,NA,"calibrated",0.05
"57",2,"binary",200,200,0.5,0.5,NA,NA,0.1,0.2,0.1829,0.1902,0.19,NA,NA,"calibrated",0.05
"58",2,"binary",200,200,0.5,0.5,NA,NA,0.1,0.3,0.56,0.6373,0.6366,NA,NA,"calibrated",0.05
"59",2,"binary",200,200,0.5,0.5,NA,NA,0.1,0.4,0.91,0.9771,0.9771,NA,NA,"calibrated",0.05
"60",2,"binary",200,200,0.5,0.5,NA,NA,0.1,0.5,0.9968,1,1,NA,NA,"calibrated",0.05
"61",2,"binary",250,250,0.5,0.5,NA,NA,0.1,0.1,0.05,0.05,0.0524,NA,NA,"calibrated",0.05
"62",2,"binary",250,250,0.5,0.5,NA,NA,0.1,0.2,0.2086,0.2242,0.2289,NA,NA,"calibrated",0.05
"63",2,"binary",250,250,0.5,0.5,NA,NA,0.1,0.3,0.6423,0.7312,0.7376,NA,NA,"calibrated",0.05
"64",2,"binary",250,250,0.5,0.5,NA,NA,0.1,0.4,0.9511,0.9926,0.9931,NA,NA,"calibrated",0.05
"65",2,"binary",250,250,0.5,0.5,NA,NA,0.1,0.5,0.9994,1,1,NA,NA,"calibrated",0.05
"66",2,"binary",300,300,0.5,0.5,NA,NA,0.1,0.1,0.05,0.05,0.0562,NA,NA,"calibrated",0.05
"67",2,"binary",300,300,0.5,0.5,NA,NA,0.1,0.2,0.2416,0.2573,0.267,NA,NA,"calibrated",0.05
"68",2,"binary",300,300,0.5,0.5,NA,NA,0.1,0.3,0.7231,0.805,0.8156,NA,NA,"calibrated",0.05
"69",2,"binary",300,300,0.5,0.5,NA,NA,0.1,0.4,0.9758,0.9969,0.9972,NA,NA,"calibrated",0.05
"70",2,"binary",300,300,0.5,0.5,NA,NA,0.1,0.5,1,1,1,NA,NA,"calibrated",0.05
"71",2,"binary",350,350,0.5,0.5,NA,NA,0.1,0.1,0.05,0.05,0.0536,NA,NA,"calibrated",0.05
"72",2,"binary",350,350,0.5,0.5,NA,NA,0.1,0.2,0.2661,0.2889,0.2956,NA,NA,"calibrated",0.05
"73",2,"binary",350,350,0.5,0.5,NA,NA,0.1,0.3,0.7794,0.8539,0.8569,NA,NA,"calibrated",0.05
"74",2,"binary",350,350,0.5,0.5,NA,NA,0.1,0.4,0.9893,0.9997,0.9997,NA,NA,"calibrated",0.05
"75",2,"binary",350,350,0.5,0.5,NA,NA,0.1,0.5,1,1,1,NA,NA,"calibrated",0.05
"76",2,"binary",400,400,0.5,0.5,NA,NA,0.1,0.1,0.05,0.05,0.0536,NA,NA,"calibrated",0.05
"77",2,"binary",400,400,0.5,0.5,NA,NA,0.1,0.2,0.2908,0.3183,0.3301,NA,NA,"calibrated",0.05
"78",2,"binary",400,400,0.5,0.5,NA,NA,0.1,0.3,0.827,0.8957,0.9012,NA,NA,"calibrated",0.05
"79",2,"binary",400,400,0.5,0.5,NA,NA,0.1,0.4,0.996,1,1,NA,NA,"calibrated",0.05
"80",2,"binary",400,400,0.5,0.5,NA,NA,0.1,0.5,1,1,1,NA,NA,"calibrated",0.05
"81",2,"binary",450,450,0.5,0.5,NA,NA,0.1,0.1,0.05,0.05,0.0475,NA,NA,"calibrated",0.05
"82",2,"binary",450,450,0.5,0.5,NA,NA,0.1,0.2,0.3388,0.3704,0.3611,NA,NA,"calibrated",0.05
"83",2,"binary",450,450,0.5,0.5,NA,NA,0.1,0.3,0.8809,0.9372,0.9349,NA,NA,"calibrated",0.05
"84",2,"binary",450,450,0.5,0.5,NA,NA,0.1,0.4,0.9989,1,1,NA,NA,"calibrated",0.05
"85",2,"binary",450,450,0.5,0.5,NA,NA,0.1,0.5,1,1,1,NA,NA,"calibrated",0.05
