"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"1",1,"binary",100,100,0.1,0.1,NA,NA,NA,NA,0.0056,0.0043,0.0534,0.2,0.05
"2",1,"binary",100,100,0.1,0.2,NA,NA,NA,NA,0.2554,0.1973,0.5165,0.2,0.05
"3",1,"binary",100,100,0.1,0.3,NA,NA,NA,NA,0.8459,0.7845,0.9529,0.2,0.05
"4",1,"binary",100,100,0.1,0.4,NA,NA,NA,NA,0.9943,0.9889,0.9997,0.2,0.05
"5",1,"binary",100,100,0.1,0.5,NA,NA,NA,NA,1,1,1,0.2,0.05
"6",1,"binary",150,150,0.1,0.1,NA,NA,NA,NA,0.005,0.0035,0.0492,0.2,0.05
"7",1,"binary",150,150,0.1,0.2,NA,NA,NA,NA,0.3971,0.3315,0.6964,0.2,0.05
"8",1,"binary",150,150,0.1,0.3,NA,NA,NA,NA,0.963,0.9402,0.9939,0.2,0.05
"9",1,"binary",150,150,0.1,0.4,NA,NA,NA,NA,0.9997,0.9994,1,0.2,0.05
"10",1,"binary",150,150,0.1,0.5,NA,NA,NA,NA,1,1,1,0.2,0.05
"11",1,"binary",200,200,0.1,0.1,NA,NA,NA,NA,0.0047,0.0036,0.0547,0.2,0.05
"12",1,"binary",200,200,0.1,0.2,NA,NA,NA,NA,0.5234,0.4478,0.8084,0.2,0.05
"13",1,"binary",200,200,0.1,0.3,NA,NA,NA,NA,0.9905,0.9843,0.9987,0.2,0.05
"14",1,"binary",200,200,0.1,0.4,NA,NA,NA,NA,1,1,1,0.2,0.05
"15",1,"binary",200,200,0.1,0.5,NA,NA,NA,NA,1,1,1,0.2,0.05
"16",1,"binary",250,250,0.1,0.1,NA,NA,NA,NA,0.0049,0.004,0.0545,0.2,0.05
"17",1,"binary",250,250,0.1,0.2,NA,NA,NA,NA,0.6402,0.5694,0.8884,0.2,0.05
"18",1,"binary",250,250,0.1,0.3,NA,NA,NA,NA,0.9984,0.9972,0.9998,0.2,0.05
"19",1,"binary",250,250,0.1,0.4,NA,NA,NA,NA,1,1,1,0.2,0.05
"20",1,"binary",250,250,0.1,0.5,NA,NA,NA,NA,1,1,1,0.2,0.05
"21",1,"binary",300,300,0.1,0.1,NA,NA,NA,NA,0.0032,0.0024,0.052,0.2,0.05
"22",1,"binary",300,300,0.1,0.2,NA,NA,NA,NA,0.7248,0.6622,0.9296,0.2,0.05
"23",1,"binary",300,300,0.1,0.3,NA,NA,NA,NA,0.9995,0.9989,1,0.2,0.05
"24",1,"binary",300,300,0.1,0.4,NA,NA,NA,NA,1,1,1,0.2,0.05
"25",1,"binary",300,300,0.1,0.5,NA,NA,NA,NA,1,1,1,0.2,0.05
"26",1,"binary",350,350,0.1,0.1,NA,NA,NA,NA,0.0021,0.0017,0.0487,0.2,0.05
"27",1,"binary",350,350,0.1,0.2,NA,NA,NA,NA,0.8145,0.7618,0.9677,0.2,0.05
"28",1,"binary",350,350,0.1,0.3,NA,NA,NA,NA,1,0.9999,1,0.2,0.05
"29",1,"binary",350,350,0.1,0.4,NA,NA,NA,NA,1,1,1,0.2,0.05
"30",1,"binary",350,350,0.1,0.5,NA,NA,NA,NA,1,1,1,0.2,0.05
"31",1,"binary",400,400,0.1,0.1,NA,NA,NA,NA,0.0033,0.0021,0.0509,0.2,0.05
"32",1,"binary",400,400,0.1,0.2,NA,NA,NA,NA,0.8697,0.8293,0.9779,0.2,0.05
"33",1,"binary",400,400,0.1,0.3,NA,NA,NA,NA,1,0.9999,1,0.2,0.05
"34",1,"binary",400,400,0.1,0.4,NA,NA,NA,NA,1,1,1,0.2,0.05
"35",1,"binary",400,400,0.1,0.5,NA,NA,NA,NA,1,1,1,0.2,0.05
"36",1,"binary",450,450,0.1,0.1,NA,NA,NA,NA,0.0037,0.0028,0.0525,0.2,0.05
