"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"1",1,"binary",100,100,0.1,0.1,NA,NA,NA,NA,0.1961,0.1164,0.0534,0.8,0.05
"2",1,"binary",100,100,0.1,0.2,NA,NA,NA,NA,0.7967,0.6709,0.5165,0.8,0.05
"3",1,"binary",100,100,0.1,0.3,NA,NA,NA,NA,0.9927,0.979,0.9529,0.8,0.05
"4",1,"binary",100,100,0.1,0.4,NA,NA,NA,NA,1,1,0.9997,0.8,0.05
"5",1,"binary",100,100,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"6",1,"binary",150,150,0.1,0.1,NA,NA,NA,NA,0.1393,0.0876,0.0492,0.8,0.05
"7",1,"binary",150,150,0.1,0.2,NA,NA,NA,NA,0.8645,0.7738,0.6964,0.8,0.05
"8",1,"binary",150,150,0.1,0.3,NA,NA,NA,NA,0.9991,0.9973,0.9939,0.8,0.05
"9",1,"binary",150,150,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"10",1,"binary",150,150,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"11",1,"binary",200,200,0.1,0.1,NA,NA,NA,NA,0.1189,0.0751,0.0547,0.8,0.05
"12",1,"binary",200,200,0.1,0.2,NA,NA,NA,NA,0.9157,0.8507,0.8084,0.8,0.05
"13",1,"binary",200,200,0.1,0.3,NA,NA,NA,NA,0.9997,0.9991,0.9987,0.8,0.05
"14",1,"binary",200,200,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"15",1,"binary",200,200,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"16",1,"binary",250,250,0.1,0.1,NA,NA,NA,NA,0.1089,0.0691,0.0545,0.8,0.05
"17",1,"binary",250,250,0.1,0.2,NA,NA,NA,NA,0.9515,0.9084,0.8884,0.8,0.05
"18",1,"binary",250,250,0.1,0.3,NA,NA,NA,NA,1,0.9999,0.9998,0.8,0.05
"19",1,"binary",250,250,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"20",1,"binary",250,250,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"21",1,"binary",300,300,0.1,0.1,NA,NA,NA,NA,0.0958,0.0598,0.052,0.8,0.05
"22",1,"binary",300,300,0.1,0.2,NA,NA,NA,NA,0.9667,0.9378,0.9296,0.8,0.05
"23",1,"binary",300,300,0.1,0.3,NA,NA,NA,NA,1,1,1,0.8,0.05
"24",1,"binary",300,300,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"25",1,"binary",300,300,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"26",1,"binary",350,350,0.1,0.1,NA,NA,NA,NA,0.0804,0.0501,0.0487,0.8,0.05
"27",1,"binary",350,350,0.1,0.2,NA,NA,NA,NA,0.9861,0.9696,0.9677,0.8,0.05
"28",1,"binary",350,350,0.1,0.3,NA,NA,NA,NA,1,1,1,0.8,0.05
"29",1,"binary",350,350,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"30",1,"binary",350,350,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"31",1,"binary",400,400,0.1,0.1,NA,NA,NA,NA,0.0797,0.0492,0.0509,0.8,0.05
"32",1,"binary",400,400,0.1,0.2,NA,NA,NA,NA,0.9888,0.9767,0.9779,0.8,0.05
"33",1,"binary",400,400,0.1,0.3,NA,NA,NA,NA,1,1,1,0.8,0.05
