"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"1",1,"binary",150,50,0.1,0.1,NA,NA,NA,NA,0.2198,0.1178,0.0526,0.8,0.05
"2",1,"binary",150,50,0.1,0.2,NA,NA,NA,NA,0.7592,0.5708,0.4082,0.8,0.05
"3",1,"binary",150,50,0.1,0.3,NA,NA,NA,NA,0.9826,0.9398,0.8873,0.8,0.05
"4",1,"binary",150,50,0.1,0.4,NA,NA,NA,NA,0.9998,0.9974,0.9929,0.8,0.05
"5",1,"binary",150,50,0.1,0.5,NA,NA,NA,NA,1,1,0.9999,0.8,0.05
"6",1,"binary",180,20,0.1,0.1,NA,NA,NA,NA,0.3778,0.1691,0.0863,0.8,0.05
"7",1,"binary",180,20,0.1,0.2,NA,NA,NA,NA,0.7228,0.3758,0.253,0.8,0.05
"8",1,"binary",180,20,0.1,0.3,NA,NA,NA,NA,0.936,0.7394,0.623,0.8,0.05
"9",1,"binary",180,20,0.1,0.4,NA,NA,NA,NA,0.9903,0.9348,0.8879,0.8,0.05
"10",1,"binary",180,20,0.1,0.5,NA,NA,NA,NA,0.999,0.9895,0.9781,0.8,0.05
"11",1,"binary",225,75,0.1,0.1,NA,NA,NA,NA,0.1677,0.0934,0.0511,0.8,0.05
"12",1,"binary",225,75,0.1,0.2,NA,NA,NA,NA,0.8156,0.6701,0.5831,0.8,0.05
"13",1,"binary",225,75,0.1,0.3,NA,NA,NA,NA,0.9957,0.9843,0.9726,0.8,0.05
"14",1,"binary",225,75,0.1,0.4,NA,NA,NA,NA,1,1,0.9999,0.8,0.05
"15",1,"binary",225,75,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"16",1,"binary",270,30,0.1,0.1,NA,NA,NA,NA,0.2771,0.0991,0.07,0.8,0.05
"17",1,"binary",270,30,0.1,0.2,NA,NA,NA,NA,0.726,0.4243,0.343,0.8,0.05
"18",1,"binary",270,30,0.1,0.3,NA,NA,NA,NA,0.9637,0.8349,0.7824,0.8,0.05
"19",1,"binary",270,30,0.1,0.4,NA,NA,NA,NA,0.9977,0.9803,0.9689,0.8,0.05
"20",1,"binary",270,30,0.1,0.5,NA,NA,NA,NA,1,0.9992,0.9985,0.8,0.05
"21",1,"binary",300,100,0.1,0.1,NA,NA,NA,NA,0.1401,0.0766,0.0543,0.8,0.05
"22",1,"binary",300,100,0.1,0.2,NA,NA,NA,NA,0.8572,0.7487,0.691,0.8,0.05
"23",1,"binary",300,100,0.1,0.3,NA,NA,NA,NA,0.9991,0.995,0.993,0.8,0.05
"24",1,"binary",300,100,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"25",1,"binary",300,100,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"26",1,"binary",360,40,0.1,0.1,NA,NA,NA,NA,0.2265,0.0803,0.0582,0.8,0.05
"27",1,"binary",360,40,0.1,0.2,NA,NA,NA,NA,0.731,0.4755,0.4146,0.8,0.05
"28",1,"binary",360,40,0.1,0.3,NA,NA,NA,NA,0.9752,0.9013,0.8717,0.8,0.05
"29",1,"binary",360,40,0.1,0.4,NA,NA,NA,NA,0.9997,0.995,0.9914,0.8,0.05
"30",1,"binary",360,40,0.1,0.5,NA,NA,NA,NA,1,0.9999,0.9998,0.8,0.05
"31",1,"binary",375,125,0.1,0.1,NA,NA,NA,NA,0.1279,0.068,0.0536,0.8,0.05
"32",1,"binary",375,125,0.1,0.2,NA,NA,NA,NA,0.9065,0.8184,0.7936,0.8,0.05
"33",1,"binary",375,125,0.1,0.3,NA,NA,NA,NA,0.9996,0.9985,0.9982,0.8,0.05
"34",1,"binary",375,125,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"35",1,"binary",375,125,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"36",1,"binary",450,50,0.1,0.1,NA,NA,NA,NA,0.1952,0.0685,0.0544,0.8,0.05
"37",1,"binary",450,50,0.1,0.2,NA,NA,NA,NA,0.7775,0.5469,0.5037,0.8,0.05
"38",1,"binary",450,50,0.1,0.3,NA,NA,NA,NA,0.9873,0.9471,0.9338,0.8,0.05
"39",1,"binary",450,50,0.1,0.4,NA,NA,NA,NA,0.9998,0.9986,0.9975,0.8,0.05
"40",1,"binary",450,50,0.1,0.5,NA,NA,NA,NA,1,0.9999,0.9999,0.8,0.05
"41",1,"binary",450,150,0.1,0.1,NA,NA,NA,NA,0.1137,0.0646,0.0569,0.8,0.05
"42",1,"binary",450,150,0.1,0.2,NA,NA,NA,NA,0.9283,0.8608,0.8534,0.8,0.05
"43",1,"binary",450,150,0.1,0.3,NA,NA,NA,NA,1,0.9998,0.9998,0.8,0.05
"44",1,"binary",450,150,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"45",1,"binary",450,150,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"46",1,"binary",525,175,0.1,0.1,NA,NA,NA,NA,0.1043,0.0564,0.0552,0.8,0.05
"47",1,"binary",525,175,0.1,0.2,NA,NA,NA,NA,0.9543,0.9027,0.9009,0.8,0.05
"48",1,"binary",525,175,0.1,0.3,NA,NA,NA,NA,1,0.9999,0.9999,0.8,0.05
"49",1,"binary",525,175,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"50",1,"binary",525,175,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"51",1,"binary",540,60,0.1,0.1,NA,NA,NA,NA,0.1788,0.0601,0.054,0.8,0.05
"52",1,"binary",540,60,0.1,0.2,NA,NA,NA,NA,0.8042,0.5783,0.5606,0.8,0.05
"53",1,"binary",540,60,0.1,0.3,NA,NA,NA,NA,0.9932,0.9703,0.9673,0.8,0.05
"54",1,"binary",540,60,0.1,0.4,NA,NA,NA,NA,1,0.9996,0.9996,0.8,0.05
"55",1,"binary",540,60,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"56",1,"binary",600,200,0.1,0.1,NA,NA,NA,NA,0.0937,0.0474,0.0488,0.8,0.05
"57",1,"binary",600,200,0.1,0.2,NA,NA,NA,NA,0.9711,0.9349,0.9355,0.8,0.05
"58",1,"binary",600,200,0.1,0.3,NA,NA,NA,NA,1,1,1,0.8,0.05
"59",1,"binary",600,200,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"60",1,"binary",600,200,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"61",1,"binary",630,70,0.1,0.1,NA,NA,NA,NA,0.1555,0.0536,0.0525,0.8,0.05
"62",1,"binary",630,70,0.1,0.2,NA,NA,NA,NA,0.8302,0.6336,0.6284,0.8,0.05
"63",1,"binary",630,70,0.1,0.3,NA,NA,NA,NA,0.9963,0.9824,0.9821,0.8,0.05
"64",1,"binary",630,70,0.1,0.4,NA,NA,NA,NA,1,0.9999,0.9999,0.8,0.05
"65",1,"binary",630,70,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"66",1,"binary",675,225,0.1,0.1,NA,NA,NA,NA,0.0876,0.0454,0.0498,0.8,0.05
"67",1,"binary",675,225,0.1,0.2,NA,NA,NA,NA,0.9775,0.9526,0.9563,0.8,0.05
"68",1,"binary",675,225,0.1,0.3,NA,NA,NA,NA,1,1,1,0.8,0.05
"69",1,"binary",675,225,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
"70",1,"binary",675,225,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"71",1,"binary",720,80,0.1,0.1,NA,NA,NA,NA,0.1436,0.0495,0.0514,0.8,0.05
"72",1,"binary",720,80,0.1,0.2,NA,NA,NA,NA,0.8588,0.6801,0.6934,0.8,0.05
"73",1,"binary",720,80,0.1,0.3,NA,NA,NA,NA,0.9977,0.9919,0.9925,0.8,0.05
"74",1,"binary",720,80,0.1,0.4,NA,NA,NA,NA,1,0.9999,0.9999,0.8,0.05
"75",1,"binary",720,80,0.1,0.5,NA,NA,NA,NA,1,1,1,0.8,0.05
"76",1,"binary",750,250,0.1,0.1,NA,NA,NA,NA,0.0833,0.0436,0.0525,0.8,0.05
"77",1,"binary",750,250,0.1,0.2,NA,NA,NA,NA,0.9869,0.9704,0.9748,0.8,0.05
"78",1,"binary",750,250,0.1,0.3,NA,NA,NA,NA,1,1,1,0.8,0.05
"79",1,"binary",750,250,0.1,0.4,NA,NA,NA,NA,1,1,1,0.8,0.05
