"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"1",1,"binary",150,50,0.1,0.1,NA,NA,NA,NA,0.0482,0.05,0.0526,NA,0.0315,"calibrated",0.05
"2",1,"binary",150,50,0.1,0.2,NA,NA,NA,NA,0.4768,0.4006,0.4082,0.3701,0.3595,"calibrated",0.05
"3",1,"binary",150,50,0.1,0.3,NA,NA,NA,NA,0.915,0.8801,0.8873,0.8765,0.861,"calibrated",0.05
"4",1,"binary",150,50,0.1,0.4,NA,NA,NA,NA,0.9956,0.9924,0.9929,0.9926,0.9907,"calibrated",0.05
"5",1,"binary",150,50,0.1,0.5,NA,NA,NA,NA,1,0.9999,0.9999,1,0.9999,"calibrated",0.05
"6",1,"binary",180,20,0.1,0.1,NA,NA,NA,NA,0.0488,0.0476,0.0863,NA,0.0276,"calibrated",0.05
"7",1,"binary",180,20,0.1,0.2,NA,NA,NA,NA,0.3356,0.2033,0.253,NA,0.2552,"calibrated",0.05
"8",1,"binary",180,20,0.1,0.3,NA,NA,NA,NA,0.7153,0.5632,0.623,NA,0.6338,"calibrated",0.05
"9",1,"binary",180,20,0.1,0.4,NA,NA,NA,NA,0.9285,0.8532,0.8879,0.9265,0.8928,"calibrated",0.05
"10",1,"binary",180,20,0.1,0.5,NA,NA,NA,NA,0.988,0.971,0.9781,0.9883,0.9792,"calibrated",0.05
"11",1,"binary",225,75,0.1,0.1,NA,NA,NA,NA,0.0498,0.0494,0.0511,NA,0.0254,"calibrated",0.05
"12",1,"binary",225,75,0.1,0.2,NA,NA,NA,NA,0.6271,0.5691,0.5831,0.5395,0.5421,"calibrated",0.05
"13",1,"binary",225,75,0.1,0.3,NA,NA,NA,NA,0.9787,0.9705,0.9726,0.9683,0.9665,"calibrated",0.05
"14",1,"binary",225,75,0.1,0.4,NA,NA,NA,NA,1,0.9999,0.9999,0.9999,0.9999,"calibrated",0.05
"15",1,"binary",225,75,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"16",1,"binary",270,30,0.1,0.1,NA,NA,NA,NA,0.0496,0.0498,0.07,NA,0.033,"calibrated",0.05
"17",1,"binary",270,30,0.1,0.2,NA,NA,NA,NA,0.3975,0.2717,0.343,NA,0.3448,"calibrated",0.05
"18",1,"binary",270,30,0.1,0.3,NA,NA,NA,NA,0.8217,0.7197,0.7824,0.7544,0.7812,"calibrated",0.05
"19",1,"binary",270,30,0.1,0.4,NA,NA,NA,NA,0.9778,0.9524,0.9689,0.9639,0.9686,"calibrated",0.05
"20",1,"binary",270,30,0.1,0.5,NA,NA,NA,NA,0.999,0.9968,0.9985,0.9983,0.9984,"calibrated",0.05
"21",1,"binary",300,100,0.1,0.1,NA,NA,NA,NA,0.05,0.0499,0.0543,NA,0.0309,"calibrated",0.05
"22",1,"binary",300,100,0.1,0.2,NA,NA,NA,NA,0.722,0.6761,0.691,0.6545,0.6579,"calibrated",0.05
"23",1,"binary",300,100,0.1,0.3,NA,NA,NA,NA,0.9945,0.9918,0.993,0.9911,0.9905,"calibrated",0.05
"24",1,"binary",300,100,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"25",1,"binary",300,100,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"26",1,"binary",360,40,0.1,0.1,NA,NA,NA,NA,0.0496,0.0498,0.0582,NA,0.0356,"calibrated",0.05
"27",1,"binary",360,40,0.1,0.2,NA,NA,NA,NA,0.4753,0.392,0.4146,NA,0.4204,"calibrated",0.05
"28",1,"binary",360,40,0.1,0.3,NA,NA,NA,NA,0.9035,0.8589,0.8717,0.7908,0.8718,"calibrated",0.05
"29",1,"binary",360,40,0.1,0.4,NA,NA,NA,NA,0.9953,0.9901,0.9914,0.9799,0.9908,"calibrated",0.05
"30",1,"binary",360,40,0.1,0.5,NA,NA,NA,NA,0.9999,0.9998,0.9998,0.9997,0.9998,"calibrated",0.05
"31",1,"binary",375,125,0.1,0.1,NA,NA,NA,NA,0.0489,0.05,0.0536,NA,0.0335,"calibrated",0.05
"32",1,"binary",375,125,0.1,0.2,NA,NA,NA,NA,0.814,0.7834,0.7936,0.7715,0.7688,"calibrated",0.05
"33",1,"binary",375,125,0.1,0.3,NA,NA,NA,NA,0.9985,0.9982,0.9982,0.9982,0.9978,"calibrated",0.05
"34",1,"binary",375,125,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"35",1,"binary",375,125,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"36",1,"binary",450,50,0.1,0.1,NA,NA,NA,NA,0.05,0.0492,0.0544,NA,0.0325,"calibrated",0.05
"37",1,"binary",450,50,0.1,0.2,NA,NA,NA,NA,0.5631,0.4851,0.5037,NA,0.4902,"calibrated",0.05
"38",1,"binary",450,50,0.1,0.3,NA,NA,NA,NA,0.9518,0.9287,0.9338,0.8787,0.9287,"calibrated",0.05
"39",1,"binary",450,50,0.1,0.4,NA,NA,NA,NA,0.9989,0.9971,0.9975,0.9933,0.9974,"calibrated",0.05
"40",1,"binary",450,50,0.1,0.5,NA,NA,NA,NA,0.9999,0.9998,0.9999,0.9998,0.9998,"calibrated",0.05
"41",1,"binary",450,150,0.1,0.1,NA,NA,NA,NA,0.0496,0.0497,0.0569,0.0492,0.0368,"calibrated",0.05
"42",1,"binary",450,150,0.1,0.2,NA,NA,NA,NA,0.8616,0.844,0.8534,0.8307,0.8354,"calibrated",0.05
"43",1,"binary",450,150,0.1,0.3,NA,NA,NA,NA,0.9999,0.9998,0.9998,0.9998,0.9998,"calibrated",0.05
"44",1,"binary",450,150,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"45",1,"binary",450,150,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"46",1,"binary",525,175,0.1,0.1,NA,NA,NA,NA,0.0499,0.0498,0.0552,0.05,0.0382,"calibrated",0.05
"47",1,"binary",525,175,0.1,0.2,NA,NA,NA,NA,0.9093,0.8952,0.9009,0.8848,0.8885,"calibrated",0.05
"48",1,"binary",525,175,0.1,0.3,NA,NA,NA,NA,0.9999,0.9999,0.9999,0.9999,0.9999,"calibrated",0.05
"49",1,"binary",525,175,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"50",1,"binary",525,175,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"51",1,"binary",540,60,0.1,0.1,NA,NA,NA,NA,0.0496,0.0498,0.054,NA,0.0285,"calibrated",0.05
"52",1,"binary",540,60,0.1,0.2,NA,NA,NA,NA,0.6114,0.5464,0.5606,0.4032,0.5424,"calibrated",0.05
"53",1,"binary",540,60,0.1,0.3,NA,NA,NA,NA,0.9744,0.9647,0.9673,0.9246,0.9631,"calibrated",0.05
"54",1,"binary",540,60,0.1,0.4,NA,NA,NA,NA,0.9997,0.9996,0.9996,0.9991,0.9996,"calibrated",0.05
"55",1,"binary",540,60,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"56",1,"binary",600,200,0.1,0.1,NA,NA,NA,NA,0.05,0.0499,0.0488,0.0496,0.0362,"calibrated",0.05
"57",1,"binary",600,200,0.1,0.2,NA,NA,NA,NA,0.9483,0.9362,0.9355,0.9342,0.9269,"calibrated",0.05
"58",1,"binary",600,200,0.1,0.3,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"59",1,"binary",600,200,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"60",1,"binary",600,200,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"61",1,"binary",630,70,0.1,0.1,NA,NA,NA,NA,0.0492,0.0494,0.0525,NA,0.0276,"calibrated",0.05
"62",1,"binary",630,70,0.1,0.2,NA,NA,NA,NA,0.674,0.6269,0.6284,0.5153,0.6116,"calibrated",0.05
"63",1,"binary",630,70,0.1,0.3,NA,NA,NA,NA,0.9866,0.9821,0.9821,0.9679,0.9799,"calibrated",0.05
"64",1,"binary",630,70,0.1,0.4,NA,NA,NA,NA,0.9999,0.9999,0.9999,0.9996,0.9998,"calibrated",0.05
"65",1,"binary",630,70,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"66",1,"binary",675,225,0.1,0.1,NA,NA,NA,NA,0.0496,0.0499,0.0498,0.0499,0.0352,"calibrated",0.05
"67",1,"binary",675,225,0.1,0.2,NA,NA,NA,NA,0.9633,0.9563,0.9563,0.9524,0.9509,"calibrated",0.05
"68",1,"binary",675,225,0.1,0.3,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"69",1,"binary",675,225,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"70",1,"binary",675,225,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"71",1,"binary",720,80,0.1,0.1,NA,NA,NA,NA,0.0498,0.0496,0.0514,NA,0.0293,"calibrated",0.05
"72",1,"binary",720,80,0.1,0.2,NA,NA,NA,NA,0.7272,0.6818,0.6934,0.5965,0.6745,"calibrated",0.05
"73",1,"binary",720,80,0.1,0.3,NA,NA,NA,NA,0.9943,0.992,0.9925,0.9869,0.9912,"calibrated",0.05
"74",1,"binary",720,80,0.1,0.4,NA,NA,NA,NA,1,0.9999,0.9999,0.9999,0.9999,"calibrated",0.05
"75",1,"binary",720,80,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"76",1,"binary",750,250,0.1,0.1,NA,NA,NA,NA,0.05,0.0496,0.0525,0.0496,0.0412,"calibrated",0.05
"77",1,"binary",750,250,0.1,0.2,NA,NA,NA,NA,0.9791,0.9742,0.9748,0.9734,0.9718,"calibrated",0.05
"78",1,"binary",750,250,0.1,0.3,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"79",1,"binary",750,250,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"80",1,"binary",750,250,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"81",1,"binary",810,90,0.1,0.1,NA,NA,NA,NA,0.0491,0.0489,0.0502,0.0499,0.0277,"calibrated",0.05
"82",1,"binary",810,90,0.1,0.2,NA,NA,NA,NA,0.7728,0.726,0.7261,0.6444,0.7147,"calibrated",0.05
"83",1,"binary",810,90,0.1,0.3,NA,NA,NA,NA,0.9977,0.9961,0.9961,0.9928,0.9954,"calibrated",0.05
"84",1,"binary",810,90,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"85",1,"binary",810,90,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"86",1,"binary",900,100,0.1,0.1,NA,NA,NA,NA,0.0499,0.05,0.052,0.049,0.0321,"calibrated",0.05
"87",1,"binary",900,100,0.1,0.2,NA,NA,NA,NA,0.8128,0.7782,0.7808,0.7161,0.7703,"calibrated",0.05
"88",1,"binary",900,100,0.1,0.3,NA,NA,NA,NA,0.9988,0.9982,0.9983,0.9969,0.9979,"calibrated",0.05
"89",1,"binary",900,100,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"90",1,"binary",900,100,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,"calibrated",0.05
"91",1,"continuous",150,50,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0468,NA,NA,"calibrated",0.05
"92",1,"continuous",150,50,1,2,3.16227766016838,3.16227766016838,NA,NA,0.485,0.4877,0.4811,NA,NA,"calibrated",0.05
"93",1,"continuous",150,50,1,3,3.16227766016838,3.16227766016838,NA,NA,0.973,0.9732,0.9724,NA,NA,"calibrated",0.05
"94",1,"continuous",150,50,1,4,3.16227766016838,3.16227766016838,NA,NA,0.9999,0.9999,0.9999,NA,NA,"calibrated",0.05
"95",1,"continuous",150,50,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"96",1,"continuous",180,20,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0497,NA,NA,"calibrated",0.05
"97",1,"continuous",180,20,1,2,3.16227766016838,3.16227766016838,NA,NA,0.2644,0.2666,0.2658,NA,NA,"calibrated",0.05
"98",1,"continuous",180,20,1,3,3.16227766016838,3.16227766016838,NA,NA,0.7547,0.7606,0.7602,NA,NA,"calibrated",0.05
"99",1,"continuous",180,20,1,4,3.16227766016838,3.16227766016838,NA,NA,0.9773,0.9802,0.98,NA,NA,"calibrated",0.05
"100",1,"continuous",180,20,1,5,3.16227766016838,3.16227766016838,NA,NA,0.9995,0.9996,0.9996,NA,NA,"calibrated",0.05
"101",1,"continuous",225,75,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0477,NA,NA,"calibrated",0.05
"102",1,"continuous",225,75,1,2,3.16227766016838,3.16227766016838,NA,NA,0.6633,0.6596,0.6534,NA,NA,"calibrated",0.05
"103",1,"continuous",225,75,1,3,3.16227766016838,3.16227766016838,NA,NA,0.9974,0.997,0.9968,NA,NA,"calibrated",0.05
"104",1,"continuous",225,75,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"105",1,"continuous",225,75,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"106",1,"continuous",270,30,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0485,NA,NA,"calibrated",0.05
"107",1,"continuous",270,30,1,2,3.16227766016838,3.16227766016838,NA,NA,0.3697,0.3774,0.3742,NA,NA,"calibrated",0.05
"108",1,"continuous",270,30,1,3,3.16227766016838,3.16227766016838,NA,NA,0.8997,0.9086,0.906,NA,NA,"calibrated",0.05
"109",1,"continuous",270,30,1,4,3.16227766016838,3.16227766016838,NA,NA,0.9994,0.9995,0.9995,NA,NA,"calibrated",0.05
"110",1,"continuous",270,30,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"111",1,"continuous",300,100,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0492,NA,NA,"calibrated",0.05
"112",1,"continuous",300,100,1,2,3.16227766016838,3.16227766016838,NA,NA,0.7903,0.7912,0.789,NA,NA,"calibrated",0.05
"113",1,"continuous",300,100,1,3,3.16227766016838,3.16227766016838,NA,NA,0.9999,0.9999,0.9999,NA,NA,"calibrated",0.05
"114",1,"continuous",300,100,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"115",1,"continuous",300,100,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"116",1,"continuous",360,40,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0491,NA,NA,"calibrated",0.05
"117",1,"continuous",360,40,1,2,3.16227766016838,3.16227766016838,NA,NA,0.4757,0.4894,0.4825,NA,NA,"calibrated",0.05
"118",1,"continuous",360,40,1,3,3.16227766016838,3.16227766016838,NA,NA,0.9653,0.968,0.9666,NA,NA,"calibrated",0.05
"119",1,"continuous",360,40,1,4,3.16227766016838,3.16227766016838,NA,NA,0.9999,0.9999,0.9999,NA,NA,"calibrated",0.05
"120",1,"continuous",360,40,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"121",1,"continuous",375,125,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.053,NA,NA,"calibrated",0.05
"122",1,"continuous",375,125,1,2,3.16227766016838,3.16227766016838,NA,NA,0.8591,0.8557,0.8633,NA,NA,"calibrated",0.05
"123",1,"continuous",375,125,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"124",1,"continuous",375,125,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"125",1,"continuous",375,125,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"126",1,"continuous",450,50,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0534,NA,NA,"calibrated",0.05
"127",1,"continuous",450,50,1,2,3.16227766016838,3.16227766016838,NA,NA,0.5522,0.558,0.5709,NA,NA,"calibrated",0.05
"128",1,"continuous",450,50,1,3,3.16227766016838,3.16227766016838,NA,NA,0.9873,0.9877,0.9887,NA,NA,"calibrated",0.05
"129",1,"continuous",450,50,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"130",1,"continuous",450,50,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"131",1,"continuous",450,150,1,1,3.16227766016838,3.16227766016838,NA,NA,0.05,0.05,0.0503,NA,NA,"calibrated",0.05
"132",1,"continuous",450,150,1,2,3.16227766016838,3.16227766016838,NA,NA,0.9181,0.9163,0.9167,NA,NA,"calibrated",0.05
"133",1,"continuous",450,150,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
"134",1,"continuous",450,150,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,NA,NA,"calibrated",0.05
