"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"1",1,"binary",100,100,0.5,0.5,NA,NA,NA,NA,0.0129,0.0047,0.0555,0.0129,0.0382,0.2,0.05
"2",1,"binary",100,100,0.5,0.6,NA,NA,NA,NA,0.1425,0.0815,0.31,0.1427,0.2632,0.2,0.05
"3",1,"binary",100,100,0.5,0.7,NA,NA,NA,NA,0.6509,0.5338,0.8318,0.6584,0.7955,0.2,0.05
"4",1,"binary",100,100,0.5,0.8,NA,NA,NA,NA,0.9795,0.9562,0.9955,0.9815,0.9936,0.2,0.05
"5",1,"binary",100,100,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"6",1,"binary",150,150,0.5,0.5,NA,NA,NA,NA,0.0091,0.0034,0.0547,0.0092,0.0391,0.2,0.05
"7",1,"binary",150,150,0.5,0.6,NA,NA,NA,NA,0.1962,0.1265,0.4264,0.206,0.3807,0.2,0.05
"8",1,"binary",150,150,0.5,0.7,NA,NA,NA,NA,0.8315,0.7416,0.9478,0.8414,0.9324,0.2,0.05
"9",1,"binary",150,150,0.5,0.8,NA,NA,NA,NA,0.9986,0.996,0.9997,0.9988,0.9997,0.2,0.05
"10",1,"binary",150,150,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"11",1,"binary",200,200,0.5,0.5,NA,NA,NA,NA,0.0086,0.0043,0.051,0.0088,0.0407,0.2,0.05
"12",1,"binary",200,200,0.5,0.6,NA,NA,NA,NA,0.258,0.1721,0.5154,0.2645,0.4782,0.2,0.05
"13",1,"binary",200,200,0.5,0.7,NA,NA,NA,NA,0.9316,0.8757,0.9838,0.9354,0.9793,0.2,0.05
"14",1,"binary",200,200,0.5,0.8,NA,NA,NA,NA,1,0.9999,1,1,1,0.2,0.05
"15",1,"binary",200,200,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"16",1,"binary",250,250,0.5,0.5,NA,NA,NA,NA,0.0076,0.0019,0.0555,0.0076,0.0456,0.2,0.05
"17",1,"binary",250,250,0.5,0.6,NA,NA,NA,NA,0.3392,0.2193,0.6215,0.3392,0.5842,0.2,0.05
"18",1,"binary",250,250,0.5,0.7,NA,NA,NA,NA,0.9716,0.9464,0.9962,0.9721,0.9943,0.2,0.05
"19",1,"binary",250,250,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"20",1,"binary",250,250,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"21",1,"binary",300,300,0.5,0.5,NA,NA,NA,NA,0.0061,0.0025,0.0583,0.0067,0.0452,0.2,0.05
"22",1,"binary",300,300,0.5,0.6,NA,NA,NA,NA,0.396,0.2875,0.7073,0.414,0.6766,0.2,0.05
"23",1,"binary",300,300,0.5,0.7,NA,NA,NA,NA,0.99,0.9774,0.999,0.99,0.9988,0.2,0.05
"24",1,"binary",300,300,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"25",1,"binary",300,300,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"26",1,"binary",350,350,0.5,0.5,NA,NA,NA,NA,0.005,0.0022,0.054,0.0051,0.0457,0.2,0.05
"27",1,"binary",350,350,0.5,0.6,NA,NA,NA,NA,0.4604,0.3436,0.7658,0.4787,0.7399,0.2,0.05
"28",1,"binary",350,350,0.5,0.7,NA,NA,NA,NA,0.9966,0.992,0.9998,0.9966,0.9998,0.2,0.05
"29",1,"binary",350,350,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"30",1,"binary",350,350,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"31",1,"binary",400,400,0.5,0.5,NA,NA,NA,NA,0.0054,0.0024,0.0542,0.0073,0.0469,0.2,0.05
"32",1,"binary",400,400,0.5,0.6,NA,NA,NA,NA,0.5328,0.398,0.8111,0.5369,0.7902,0.2,0.05
