"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"1",1,"binary",100,100,0.5,0.5,NA,NA,NA,NA,0.4262,0.1041,0.0555,0.4356,0.0382,0.8,0.05
"2",1,"binary",100,100,0.5,0.6,NA,NA,NA,NA,0.7281,0.4216,0.31,0.7539,0.2632,0.8,0.05
"3",1,"binary",100,100,0.5,0.7,NA,NA,NA,NA,0.9753,0.9101,0.8318,0.9816,0.7955,0.8,0.05
"4",1,"binary",100,100,0.5,0.8,NA,NA,NA,NA,1,0.9987,0.9955,1,0.9936,0.8,0.05
"5",1,"binary",100,100,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"6",1,"binary",150,150,0.5,0.5,NA,NA,NA,NA,0.2721,0.0892,0.0547,0.2721,0.0391,0.8,0.05
"7",1,"binary",150,150,0.5,0.6,NA,NA,NA,NA,0.7378,0.5194,0.4264,0.7378,0.3807,0.8,0.05
"8",1,"binary",150,150,0.5,0.7,NA,NA,NA,NA,0.9927,0.9687,0.9478,0.9927,0.9324,0.8,0.05
"9",1,"binary",150,150,0.5,0.8,NA,NA,NA,NA,1,1,0.9997,1,0.9997,0.8,0.05
"10",1,"binary",150,150,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"11",1,"binary",200,200,0.5,0.5,NA,NA,NA,NA,0.2444,0.0792,0.051,0.2444,0.0407,0.8,0.05
"12",1,"binary",200,200,0.5,0.6,NA,NA,NA,NA,0.8003,0.5967,0.5154,0.8003,0.4782,0.8,0.05
"13",1,"binary",200,200,0.5,0.7,NA,NA,NA,NA,0.9989,0.9901,0.9838,0.9989,0.9793,0.8,0.05
"14",1,"binary",200,200,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"15",1,"binary",200,200,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"16",1,"binary",250,250,0.5,0.5,NA,NA,NA,NA,0.2016,0.068,0.0555,0.2016,0.0456,0.8,0.05
"17",1,"binary",250,250,0.5,0.6,NA,NA,NA,NA,0.8309,0.6544,0.6215,0.8309,0.5842,0.8,0.05
"18",1,"binary",250,250,0.5,0.7,NA,NA,NA,NA,0.9989,0.9969,0.9962,0.9989,0.9943,0.8,0.05
"19",1,"binary",250,250,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"20",1,"binary",250,250,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"21",1,"binary",300,300,0.5,0.5,NA,NA,NA,NA,0.1816,0.0583,0.0583,0.1816,0.0452,0.8,0.05
"22",1,"binary",300,300,0.5,0.6,NA,NA,NA,NA,0.8642,0.7091,0.7073,0.8642,0.6766,0.8,0.05
"23",1,"binary",300,300,0.5,0.7,NA,NA,NA,NA,0.9999,0.9991,0.999,0.9999,0.9988,0.8,0.05
"24",1,"binary",300,300,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"25",1,"binary",300,300,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"26",1,"binary",350,350,0.5,0.5,NA,NA,NA,NA,0.1649,0.054,0.054,0.1649,0.0457,0.8,0.05
"27",1,"binary",350,350,0.5,0.6,NA,NA,NA,NA,0.8928,0.7658,0.7658,0.8928,0.7399,0.8,0.05
"28",1,"binary",350,350,0.5,0.7,NA,NA,NA,NA,1,0.9998,0.9998,1,0.9998,0.8,0.05
"29",1,"binary",350,350,0.5,0.8,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"30",1,"binary",350,350,0.5,0.9,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"31",1,"binary",400,400,0.5,0.5,NA,NA,NA,NA,0.1518,0.0542,0.0542,0.1518,0.0469,0.8,0.05
"32",1,"binary",400,400,0.5,0.6,NA,NA,NA,NA,0.9146,0.8111,0.8111,0.9146,0.7902,0.8,0.05
"33",1,"binary",400,400,0.5,0.7,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
