"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"1",1,"binary",100,100,0.1,0.1,NA,NA,NA,NA,0.1961,0.1164,0.0534,NA,0.0244,0.8,0.05
"2",1,"binary",100,100,0.1,0.2,NA,NA,NA,NA,0.7967,0.6709,0.5165,NA,0.4257,0.8,0.05
"3",1,"binary",100,100,0.1,0.3,NA,NA,NA,NA,0.9927,0.979,0.9529,NA,0.9308,0.8,0.05
"4",1,"binary",100,100,0.1,0.4,NA,NA,NA,NA,1,1,0.9997,NA,0.9991,0.8,0.05
"5",1,"binary",100,100,0.1,0.5,NA,NA,NA,NA,1,1,1,NA,1,0.8,0.05
"6",1,"binary",150,150,0.1,0.1,NA,NA,NA,NA,0.1393,0.0876,0.0492,0.1415,0.0287,0.8,0.05
"7",1,"binary",150,150,0.1,0.2,NA,NA,NA,NA,0.8645,0.7738,0.6964,0.8667,0.6299,0.8,0.05
"8",1,"binary",150,150,0.1,0.3,NA,NA,NA,NA,0.9991,0.9973,0.9939,0.9991,0.9908,0.8,0.05
"9",1,"binary",150,150,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"10",1,"binary",150,150,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"11",1,"binary",200,200,0.1,0.1,NA,NA,NA,NA,0.1189,0.0751,0.0547,0.1231,0.0337,0.8,0.05
"12",1,"binary",200,200,0.1,0.2,NA,NA,NA,NA,0.9157,0.8507,0.8084,0.9157,0.7673,0.8,0.05
"13",1,"binary",200,200,0.1,0.3,NA,NA,NA,NA,0.9997,0.9991,0.9987,0.9999,0.9983,0.8,0.05
"14",1,"binary",200,200,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"15",1,"binary",200,200,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.8,0.05
"16",1,"binary",250,250,0.1,0.1,NA,NA,NA,NA,0.1089,0.0691,0.0545,0.1089,0.0364,0.8,0.05
