"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEM_contapprox_power","pval_chisq_power","MEMcutoff","pvalcutoff"
"1",1,"binary",150,50,0.1,0.1,NA,NA,NA,NA,0.0066,0.0065,0.0526,NA,0.0315,0.2,0.05
"2",1,"binary",150,50,0.1,0.2,NA,NA,NA,NA,0.2042,0.1404,0.4082,0.1378,0.3595,0.2,0.05
"3",1,"binary",150,50,0.1,0.3,NA,NA,NA,NA,0.7382,0.633,0.8873,0.6563,0.861,0.2,0.05
"4",1,"binary",150,50,0.1,0.4,NA,NA,NA,NA,0.9747,0.9519,0.9929,0.9589,0.9907,0.2,0.05
"5",1,"binary",150,50,0.1,0.5,NA,NA,NA,NA,0.9992,0.9981,0.9999,0.9985,0.9999,0.2,0.05
"6",1,"binary",180,20,0.1,0.1,NA,NA,NA,NA,0.0091,0.0029,0.0863,NA,0.0276,0.2,0.05
"7",1,"binary",180,20,0.1,0.2,NA,NA,NA,NA,0.1412,0.0692,0.253,NA,0.2552,0.2,0.05
"8",1,"binary",180,20,0.1,0.3,NA,NA,NA,NA,0.4736,0.3032,0.623,NA,0.6338,0.2,0.05
"9",1,"binary",180,20,0.1,0.4,NA,NA,NA,NA,0.797,0.645,0.8879,0.6347,0.8928,0.2,0.05
"10",1,"binary",180,20,0.1,0.5,NA,NA,NA,NA,0.9555,0.8889,0.9781,0.8892,0.9792,0.2,0.05
"11",1,"binary",225,75,0.1,0.1,NA,NA,NA,NA,0.0058,0.0037,0.0511,NA,0.0254,0.2,0.05
"12",1,"binary",225,75,0.1,0.2,NA,NA,NA,NA,0.3169,0.2331,0.5831,0.2287,0.5421,0.2,0.05
"13",1,"binary",225,75,0.1,0.3,NA,NA,NA,NA,0.9006,0.8407,0.9726,0.8514,0.9665,0.2,0.05
"14",1,"binary",225,75,0.1,0.4,NA,NA,NA,NA,0.9977,0.9944,0.9999,0.9951,0.9999,0.2,0.05
"15",1,"binary",225,75,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"16",1,"binary",270,30,0.1,0.1,NA,NA,NA,NA,0.0066,0.0029,0.07,NA,0.033,0.2,0.05
"17",1,"binary",270,30,0.1,0.2,NA,NA,NA,NA,0.1923,0.0937,0.343,NA,0.3448,0.2,0.05
"18",1,"binary",270,30,0.1,0.3,NA,NA,NA,NA,0.6331,0.4637,0.7824,0.4407,0.7812,0.2,0.05
"19",1,"binary",270,30,0.1,0.4,NA,NA,NA,NA,0.9254,0.8407,0.9689,0.8332,0.9686,0.2,0.05
"20",1,"binary",270,30,0.1,0.5,NA,NA,NA,NA,0.9933,0.9808,0.9985,0.9806,0.9984,0.2,0.05
"21",1,"binary",300,100,0.1,0.1,NA,NA,NA,NA,0.0049,0.0033,0.0543,NA,0.0309,0.2,0.05
"22",1,"binary",300,100,0.1,0.2,NA,NA,NA,NA,0.4273,0.3294,0.691,0.3264,0.6579,0.2,0.05
"23",1,"binary",300,100,0.1,0.3,NA,NA,NA,NA,0.9633,0.9377,0.993,0.9425,0.9905,0.2,0.05
"24",1,"binary",300,100,0.1,0.4,NA,NA,NA,NA,0.9996,0.9995,1,0.9995,1,0.2,0.05
"25",1,"binary",300,100,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"26",1,"binary",360,40,0.1,0.1,NA,NA,NA,NA,0.007,0.0062,0.0582,NA,0.0356,0.2,0.05
"27",1,"binary",360,40,0.1,0.2,NA,NA,NA,NA,0.245,0.1278,0.4146,NA,0.4204,0.2,0.05
"28",1,"binary",360,40,0.1,0.3,NA,NA,NA,NA,0.7476,0.6013,0.8717,0.5797,0.8718,0.2,0.05
"29",1,"binary",360,40,0.1,0.4,NA,NA,NA,NA,0.9711,0.9333,0.9914,0.9313,0.9908,0.2,0.05
"30",1,"binary",360,40,0.1,0.5,NA,NA,NA,NA,0.9991,0.9962,0.9998,0.996,0.9998,0.2,0.05
"31",1,"binary",375,125,0.1,0.1,NA,NA,NA,NA,0.0057,0.0031,0.0536,NA,0.0335,0.2,0.05
"32",1,"binary",375,125,0.1,0.2,NA,NA,NA,NA,0.5207,0.4232,0.7936,0.4231,0.7688,0.2,0.05
"33",1,"binary",375,125,0.1,0.3,NA,NA,NA,NA,0.9888,0.9775,0.9982,0.9798,0.9978,0.2,0.05
"34",1,"binary",375,125,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"35",1,"binary",375,125,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"36",1,"binary",450,50,0.1,0.1,NA,NA,NA,NA,0.0065,0.0053,0.0544,NA,0.0325,0.2,0.05
"37",1,"binary",450,50,0.1,0.2,NA,NA,NA,NA,0.2791,0.1697,0.5037,NA,0.4902,0.2,0.05
"38",1,"binary",450,50,0.1,0.3,NA,NA,NA,NA,0.8313,0.7277,0.9338,0.7082,0.9287,0.2,0.05
"39",1,"binary",450,50,0.1,0.4,NA,NA,NA,NA,0.9884,0.975,0.9975,0.9736,0.9974,0.2,0.05
"40",1,"binary",450,50,0.1,0.5,NA,NA,NA,NA,0.9997,0.9995,0.9999,0.9994,0.9998,0.2,0.05
"41",1,"binary",450,150,0.1,0.1,NA,NA,NA,NA,0.0043,0.0026,0.0569,0.0072,0.0368,0.2,0.05
"42",1,"binary",450,150,0.1,0.2,NA,NA,NA,NA,0.6071,0.5097,0.8534,0.5135,0.8354,0.2,0.05
"43",1,"binary",450,150,0.1,0.3,NA,NA,NA,NA,0.9958,0.9918,0.9998,0.9929,0.9998,0.2,0.05
"44",1,"binary",450,150,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"45",1,"binary",450,150,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"46",1,"binary",525,175,0.1,0.1,NA,NA,NA,NA,0.0051,0.0033,0.0552,0.0068,0.0382,0.2,0.05
"47",1,"binary",525,175,0.1,0.2,NA,NA,NA,NA,0.6892,0.599,0.9009,0.6054,0.8885,0.2,0.05
"48",1,"binary",525,175,0.1,0.3,NA,NA,NA,NA,0.9991,0.998,0.9999,0.9982,0.9999,0.2,0.05
"49",1,"binary",525,175,0.1,0.4,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"50",1,"binary",525,175,0.1,0.5,NA,NA,NA,NA,1,1,1,1,1,0.2,0.05
"51",1,"binary",540,60,0.1,0.1,NA,NA,NA,NA,0.0067,0.0029,0.054,NA,0.0285,0.2,0.05
"52",1,"binary",540,60,0.1,0.2,NA,NA,NA,NA,0.3286,0.2009,0.5606,0.1812,0.5424,0.2,0.05
"53",1,"binary",540,60,0.1,0.3,NA,NA,NA,NA,0.8934,0.806,0.9673,0.7946,0.9631,0.2,0.05
"54",1,"binary",540,60,0.1,0.4,NA,NA,NA,NA,0.9981,0.9907,0.9996,0.9901,0.9996,0.2,0.05
